Sample,DNA Name,Length (bp),Concentration (ng/uL),Primer
416,D_T7_75_P2_32,1000,0.83,27F
417,D_T7_75_P2_33,1000,0.83,27F
418,D_T7_75_P2_34,1000,0.83,27F
419,D_T7_75_P2_35,1000,0.83,27F
420,D_T7_75_P2_36,1000,0.83,27F
421,D_T7_75_P2_37,1000,0.83,27F
422,D_T7_75_P2_38,1000,0.83,27F
423,D_T7_75_P2_39,1000,0.83,27F
424,D_T7_75_P2_40,1000,0.83,27F
425,D_T7_75_P2_41,1000,0.83,27F
426,D_T7_75_P2_42,1000,0.83,27F
427,D_T7_75_P2_43,1000,0.83,27F
428,D_T7_75_P2_44,1000,0.83,27F
429,D_T7_75_P2_45,1000,0.83,27F
430,D_T7_75_P2_46,1000,0.83,27F
431,D_T7_75_P2_47,1000,0.83,27F
432,D_T7_75_P2_48,1000,0.83,27F
433,D_T7_75_P2_49,1000,0.83,27F
434,D_T7_75_P2_50,1000,0.83,27F
435,D_T7_75_P2_51,1000,0.83,27F
436,D_T7_75_P2_52,1000,0.83,27F
437,D_T7_75_P2_53,1000,0.83,27F
438,D_T7_75_P2_54,1000,0.83,27F
439,D_T7_75_P2_55,1000,0.83,27F
440,D_T7_75_P2_56,1000,0.83,27F
441,D_T7_75_P2_57,1000,0.83,27F
442,D_T7_75_P2_58,1000,0.83,27F
443,D_T7_75_P2_59,1000,0.83,27F
444,D_T7_75_P2_60,1000,0.83,27F
445,D_T7_75_P2_61,1000,0.83,27F
446,D_T7_75_P2_62,1000,0.83,27F
447,D_T7_75_P2_63,1000,0.83,27F
448,D_T7_75_P2_64,1000,0.83,27F
449,D_T7_75_P2_65,1000,0.83,27F
450,D_T7_75_P2_66,1000,0.83,27F
451,D_T7_75_P2_67,1000,0.83,27F
452,D_T7_75_P2_68,1000,0.83,27F
453,D_T7_75_P2_69,1000,0.83,27F
454,D_T7_75_P2_70,1000,0.83,27F
455,D_T7_75_P2_71,1000,0.83,27F
456,D_T7_75_P2_72,1000,0.83,27F
457,D_T7_75_P2_73,1000,0.83,27F
458,D_T7_75_P2_74,1000,0.83,27F
459,D_T7_75_P2_75,1000,0.83,27F
460,D_T7_75_P2_76,1000,0.83,27F
461,D_T7_75_P2_77,1000,0.83,27F
462,D_T7_75_P2_78,1000,0.83,27F
463,D_T7_75_P2_79,1000,0.83,27F
464,D_T7_75_P2_80,1000,0.83,27F
465,D_T7_75_P2_81,1000,0.83,27F
466,D_T7_75_P2_82,1000,0.83,27F
467,D_T7_75_P2_83,1000,0.83,27F
468,D_T7_75_P2_84,1000,0.83,27F
469,D_T7_75_P2_85,1000,0.83,27F
470,D_T7_75_P2_86,1000,0.83,27F
471,D_T7_75_P2_87,1000,0.83,27F
472,D_T7_75_P2_88,1000,0.83,27F
473,D_T7_75_P2_89,1000,0.83,27F
474,D_T7_75_P2_90,1000,0.83,27F
475,D_T7_75_P2_91,1000,0.83,27F
476,D_T7_75_P2_92,1000,0.83,27F
477,D_T7_75_P2_93,1000,0.83,27F
478,D_T7_75_P2_94,1000,0.83,27F
479,D_T7_75_P2_95,1000,0.83,27F
480,D_T7_75_P2_96,1000,0.83,27F
481,D_T7_5543_P2_1,1000,0.83,27F
482,D_T7_5543_P2_2,1000,0.83,27F
483,D_T7_5543_P2_3,1000,0.83,27F
484,D_T7_5543_P2_4,1000,0.83,27F
485,D_T7_5543_P2_5,1000,0.83,27F
486,D_T7_5543_P2_6,1000,0.83,27F
487,D_T7_5543_P2_7,1000,0.83,27F
488,D_T7_5543_P2_8,1000,0.83,27F
489,D_T7_5543_P2_9,1000,0.83,27F
490,D_T7_5543_P2_10,1000,0.83,27F
491,D_T7_5543_P2_11,1000,0.83,27F
