Community,Isolate1,Isolate2,Isolate1InitialODFreq,Isolate2InitialODFreq,Time,Isolate1MeasuredFreq,ErrorIsolate1MeasuredFreq,RawDataType,Contamination
AcrAss2,3,6,0.05,0.95,T3,0.0734374736942536,,Sanger,FALSE
AcrAss2,3,7,0.05,0.95,T3,0.00647848416210132,,Sanger,FALSE
AcrAss2,3,8,0.05,0.95,T3,0.0326630408202923,,Sanger,FALSE
AcrAss2,1,4,0.95,0.05,T3,0.96143654192694,,Sanger,FALSE
AcrAss2,2,4,0.95,0.05,T3,0.909542098100443,,Sanger,FALSE
AcrAss2,3,4,0.95,0.05,T3,0.144522320308133,,Sanger,FALSE
AcrAss2,4,5,0.05,0.95,T3,0.901393529414229,,Sanger,FALSE
AcrAss2,4,6,0.05,0.95,T3,0.0955587392618867,,Sanger,FALSE
AcrAss2,4,7,0.05,0.95,T3,0.0250415185765119,,Sanger,FALSE
AcrAss2,4,8,0.05,0.95,T3,0.0184590495751626,,Sanger,FALSE
AcrAss2,1,5,0.95,0.05,T3,0.920605296922804,,Sanger,FALSE
AcrAss2,2,5,0.95,0.05,T3,0.968609673956547,,Sanger,FALSE
AcrAss2,3,5,0.95,0.05,T3,0.928231096562467,,Sanger,FALSE
AcrAss2,4,5,0.95,0.05,T3,0.916768416878016,,Sanger,FALSE
AcrAss2,5,6,0.05,0.95,T3,0.068345301939724,,Sanger,FALSE
AcrAss2,5,7,0.05,0.95,T3,0.00764414164352592,,Sanger,FALSE
AcrAss2,5,8,0.05,0.95,T3,0.0138976826177081,,Sanger,FALSE
AcrAss2,1,6,0.95,0.05,T3,0.892490887768768,,Sanger,FALSE
AcrAss2,2,6,0.95,0.05,T3,0.990549836428709,,Sanger,FALSE
AcrAss2,3,6,0.95,0.05,T3,0.179399839264677,,Sanger,FALSE
AcrAss2,4,6,0.95,0.05,T3,0.470497828739285,,Sanger,FALSE
AcrAss2,5,6,0.95,0.05,T3,0.0938200838988159,,Sanger,FALSE
AcrAss2,6,7,0.05,0.95,T3,0.0549966363911182,,Sanger,FALSE
AcrAss2,6,8,0.05,0.95,T3,0.0343232823957155,,Sanger,FALSE
AcrAss2,1,7,0.95,0.05,T3,0.0835166271296213,,Sanger,FALSE
AcrAss2,2,7,0.95,0.05,T3,0.312796163186361,,Sanger,FALSE
AcrAss2,3,7,0.95,0.05,T3,0.0520146207892314,,Sanger,FALSE
AcrAss2,4,7,0.95,0.05,T3,0.0277184003151559,,Sanger,FALSE
AcrAss2,5,7,0.95,0.05,T3,0.0124844552036336,,Sanger,FALSE
AcrAss2,6,7,0.95,0.05,T3,0.0357806121643085,,Sanger,FALSE
AcrAss2,7,8,0.05,0.95,T3,0.0196777788951593,,Sanger,FALSE
AcrAss2,1,8,0.95,0.05,T3,0.0242679912028133,,Sanger,FALSE
AcrAss2,2,8,0.95,0.05,T3,0.0347342096134933,,Sanger,FALSE
AcrAss2,3,8,0.95,0.05,T3,0.0412921202381806,,Sanger,FALSE
AcrAss2,4,8,0.95,0.05,T3,0.336050060096786,,Sanger,FALSE
AcrAss2,5,8,0.95,0.05,T3,0.0125334881873945,,Sanger,FALSE
AcrAss2,6,8,0.95,0.05,T3,0.0301174159324999,,Sanger,FALSE
AcrAss2,7,8,0.95,0.05,T3,0.579241559549269,,Sanger,FALSE
RanAss1,1,2,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss1,1,3,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss1,1,4,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss1,1,5,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss1,1,6,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss1,1,7,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss1,1,8,0.05,0.95,T0,0.05,,Sanger,FALSE
