"Community","Isolate1","Isolate2","Isolate1Freq","Isolate2Freq","Time","ErrorCellFreq1","CellFreq1"
"C1R7","5","7","50","50","T0",0.0649262796405422,0.721649484536082
"C1R7","6","7","50","50","T0",0.0705692010812591,0.654545454545455
"C1R7","1","2","95","5","T0",0.00689041989017963,0.977562862669246
"C1R7","1","3","95","5","T0",0.00894396960293842,0.972262075561932
"C1R7","1","4","95","5","T0",0.00946254528392615,0.971748660496834
"C1R7","1","5","95","5","T0",0.00981332779843154,0.969181721572795
"C1R7","1","6","95","5","T0",0.0071125538049877,0.978203682826005
"C1R7","1","7","95","5","T0",0.0069313518962311,0.977887914601601
"C1R7","2","3","95","5","T0",0.0220666047595584,0.945273631840796
"C1R7","2","4","95","5","T0",0.00538423971943742,0.986915146708961
"C1R7","2","5","95","5","T0",0.0133159113418534,0.964362850971922
"C1R7","2","6","95","5","T0",0.0110912097978535,0.971867007672634
"C1R7","2","7","95","5","T0",0.00477642257548392,0.986612576064909
"C1R7","3","4","95","5","T0",0.0128650725068637,0.960866947621914
"C1R7","3","5","95","5","T0",0.0413106783918616,0.891122278056951
"C1R7","3","6","95","5","T0",0.0202763450076333,0.939365671641791
"C1R7","3","7","95","5","T0",0.0149526506596921,0.952761627906977
"C1R7","4","5","95","5","T0",0.00851712251730995,0.971558245083207
"C1R7","4","6","95","5","T0",0.00820169274169113,0.972957422324511
"C1R7","4","7","95","5","T0",0.0108876709718734,0.963608207510647
"C1R7","5","6","95","5","T0",0.0165024618010334,0.95169946332737
"C1R7","5","7","95","5","T0",0.00716277419498653,0.97741530740276
"C1R7","6","7","95","5","T0",0.00815131340222522,0.973154362416107
"C2R6","2","3","5","95","T0",0.00341297180612569,0.00750798722044728
"C2R6","2","4","5","95","T0",0.00346936396805424,0.00814176245210728
"C2R6","3","4","5","95","T0",0.00197887254905064,0.000957360630385154
"C2R6","2","3","50","50","T0",0.0552197711696794,0.235981308411215
"C2R6","2","4","50","50","T0",0.0499684124749643,0.0865921787709497
"C2R6","3","4","50","50","T0",0.0362734874093344,0.0192307692307692
"C2R6","2","3","95","5","T0",0.126688748627469,0.670362903225806
"C2R6","2","4","95","5","T0",0.221455522645507,0.549586776859504
"C2R6","3","4","95","5","T0",0.143148873995252,0.570913461538462
"C2R8","2","3","5","95","T0",0.00240118865494292,0.00388699279484262
"C2R8","2","4","5","95","T0",0.00235032975242405,0.00322550042690447
"C2R8","3","4","5","95","T0",NA,NA
"C2R8","2","3","50","50","T0",0.0398473822227316,0.0627118644067797
"C2R8","2","4","50","50","T0",0.0398785049975996,0.0595238095238095
"C2R8","3","4","50","50","T0",NA,NA
"C2R8","2","3","95","5","T0",0.1250117973892,0.627358490566038
"C2R8","2","4","95","5","T0",0.154502646195194,0.578827113480579
"C2R8","3","4","95","5","T0",NA,NA
"C4R1","1","2","5","95","T0",0.150918866888875,0.418367346938776
"C4R1","1","3","5","95","T0",NA,NA
"C4R1","2","3","5","95","T0",0.0215462828412534,0.0715909090909091
"C4R1","1","2","50","50","T0",0.0467996572816595,0.917808219178082
"C4R1","1","3","50","50","T0",NA,NA
"C4R1","2","3","50","50","T0",0.056948118468941,0.758426966292135
"C4R1","1","2","95","5","T0",0.00551051932273788,0.991058122205663
"C4R1","1","3","95","5","T0",NA,NA
"C4R1","2","3","95","5","T0",0.00548378948422711,0.982075864943726
"C7R1","2","3","5","95","T0",0.00401862895189661,0.0127813281467074
"C7R1","2","4","5","95","T0",0.00513885005112082,0.0189148143034654
"C7R1","3","4","5","95","T0",NA,NA
"C7R1","2","3","50","50","T0",0.0477015166328015,0.134259259259259
"C7R1","2","4","50","50","T0",0.0474224245510762,0.126168224299065
"C7R1","3","4","50","50","T0",NA,NA
"C7R1","2","3","95","5","T0",0.0681168701254642,0.767557489123679
"C7R1","2","4","95","5","T0",0.03019683985604,0.875166889185581
"C7R1","3","4","95","5","T0",NA,NA
"C8R4","2","3","5","95","T0",0.00791954628184405,0.0300572519083969
"C8R4","2","3","50","50","T0",0.0586438359526781,0.189393939393939
"C8R4","2","3","95","5","T0",0.0207976272519258,0.916731517509728
"C10R2","2","3","5","95","T0",0.0022666508162654,0.00422782386726228
"C10R2","2","3","50","50","T0",0.0407149177885012,0.142297650130548
"C10R2","2","3","95","5","T0",0.111346778360408,0.638215859030837
"C11R1","1","2","5","95","T0",0.164926371475458,0.407932011331445
"C11R1","1","3","5","95","T0",0.123359574020466,0.18359375
"C11R1","1","4","5","95","T0",NA,NA
"C11R1","1","5","5","95","T0",0.193276429307329,0.488997555012225
"C11R1","1","6","5","95","T0",0.236443667642701,0.486486486486487
"C11R1","1","7","5","95","T0",0.200519311242218,0.330128205128205
"C11R1","1","8","5","95","T0",0.182900852690918,0.39067055393586
"C11R1","1","9","5","95","T0",0.178837690920995,0.27681660899654
"C11R1","2","3","5","95","T0",0.0207013045349503,0.0602150537634409
"C11R1","2","4","5","95","T0",0.0171279125267392,0.05
"C11R1","2","5","5","95","T0",0.0316064399019095,0.10174717368962
"C11R1","2","6","5","95","T0",0.0303121494613796,0.0895833333333333
"C11R1","2","7","5","95","T0",0.0210527490378175,0.0592034445640474
"C11R1","2","8","5","95","T0",NA,NA
"C11R1","2","9","5","95","T0",0.0077529925488043,0.00114285714285714
"C11R1","3","4","5","95","T0",0.00816135978545291,0.0181950509461426
"C11R1","3","5","5","95","T0",0.0193173738315186,0.0631944444444444
"C11R1","3","6","5","95","T0",0.0192519668676493,0.0605849582172702
"C11R1","3","7","5","95","T0",0.0218528926972733,0.0709366391184573
"C11R1","3","8","5","95","T0",0.0134492351359567,0.0405405405405405
"C11R1","3","9","5","95","T0",0.0135463901584917,0.0398576512455516
"C11R1","4","5","5","95","T0",0.0311929422825813,0.101477832512315
"C11R1","4","6","5","95","T0",0.029674550590808,0.0889110889110889
"C11R1","4","7","5","95","T0",0.0255834064989276,0.0759878419452888
"C11R1","4","8","5","95","T0",0.0231111300818715,0.0712830957230143
"C11R1","4","9","5","95","T0",0.0134949552007887,0.0338983050847458
"C11R1","5","6","5","95","T0",0.0252849894224604,0.0804059328649493
"C11R1","5","7","5","95","T0",0.0238721288297906,0.076078431372549
"C11R1","5","8","5","95","T0",0.0328278433317022,0.114951164537941
"C11R1","5","9","5","95","T0",0.0293752117335048,0.0973180076628353
"C11R1","6","7","5","95","T0",0.0128553231137874,0.0402061855670103
"C11R1","6","8","5","95","T0",0.01847573407533,0.0629089079013588
"C11R1","6","9","5","95","T0",0.0147430427885298,0.0475703324808184
"C11R1","7","8","5","95","T0",0.0161757834705376,0.0531914893617021
"C11R1","7","9","5","95","T0",0.0161441637401271,0.0521300448430493
"C11R1","8","9","5","95","T0",NA,NA
"C11R1","1","2","50","50","T0",NA,NA
"C11R1","1","3","50","50","T0",NA,NA
"C11R1","1","4","50","50","T0",NA,NA
"C11R1","1","5","50","50","T0",0.0822948208417078,0.879120879120879
"C11R1","1","6","50","50","T0",0.136689806814534,0.825396825396825
"C11R1","1","7","50","50","T0",0.0738312326687292,0.910569105691057
"C11R1","1","8","50","50","T0",0.0384737053581798,0.947115384615385
"C11R1","1","9","50","50","T0",0.0977177998183697,0.875
"C11R1","2","3","50","50","T0",0.0909103977630766,0.544554455445544
"C11R1","2","4","50","50","T0",0.0894893494230994,0.51063829787234
"C11R1","2","5","50","50","T0",0.0823313184888385,0.622950819672131
"C11R1","2","6","50","50","T0",0.0906546159650422,0.596491228070175
"C11R1","2","7","50","50","T0",0.0947331014093994,0.530612244897959
"C11R1","2","8","50","50","T0",NA,NA
"C11R1","2","9","50","50","T0",NA,NA
"C11R1","3","4","50","50","T0",0.0888091616295991,0.236559139784946
"C11R1","3","5","50","50","T0",0.0839516004259446,0.492857142857143
"C11R1","3","6","50","50","T0",0.0865680603050162,0.492857142857143
"C11R1","3","7","50","50","T0",0.0869396067373418,0.462121212121212
"C11R1","3","8","50","50","T0",0.0865152363013222,0.387931034482759
"C11R1","3","9","50","50","T0",0.0881745736567701,0.382608695652174
"C11R1","4","5","50","50","T0",0.0850340870692312,0.586206896551724
"C11R1","4","6","50","50","T0",0.0947353870783873,0.529411764705882
"C11R1","4","7","50","50","T0",0.0844134516344886,0.630769230769231
"C11R1","4","8","50","50","T0",0.0899347190800082,0.52
"C11R1","4","9","50","50","T0",0.0979479868884456,0.428571428571429
"C11R1","5","6","50","50","T0",0.0857086250880597,0.560283687943262
"C11R1","5","7","50","50","T0",0.0844342040927414,0.566433566433566
"C11R1","5","8","50","50","T0",0.0723964691023039,0.664864864864865
"C11R1","5","9","50","50","T0",0.0876952178652713,0.507936507936508
"C11R1","6","7","50","50","T0",0.0820559015552923,0.350993377483444
"C11R1","6","8","50","50","T0",0.0803599662050471,0.48421052631579
"C11R1","6","9","50","50","T0",0.0822534792889185,0.420118343195266
"C11R1","7","8","50","50","T0",0.0765712684679633,0.582159624413146
"C11R1","7","9","50","50","T0",0.0832771809615693,0.450617283950617
"C11R1","8","9","50","50","T0",0.124050357815511,0.0161290322580645
"C11R1","1","2","95","5","T0",0.00218182111625373,0.996793937627514
"C11R1","1","3","95","5","T0",0.0125123113840893,0.984593837535014
"C11R1","1","4","95","5","T0",NA,NA
"C11R1","1","5","95","5","T0",0.00733842741210168,0.990443092962641
"C11R1","1","6","95","5","T0",0.00552855152972426,0.994127068873465
"C11R1","1","7","95","5","T0",0.00759630528224548,0.991557943207982
"C11R1","1","8","95","5","T0",0.00427210780691736,0.994410569105691
"C11R1","1","9","95","5","T0",0.00905778596509827,0.989767441860465
"C11R1","2","3","95","5","T0",0.0170496361110701,0.951983298538622
"C11R1","2","4","95","5","T0",0.0231084943964872,0.935302390998594
