q,q2,seed,S,exp_id
0.15,0.85,2,200,482
0.25,0.85,2,200,483
0.35,0.85,2,200,484
0.45,0.85,2,200,485
0.55,0.85,2,200,486
0.65,0.85,2,200,487
0.75,0.85,2,200,488
0.85,0.85,2,200,489
0.95,0.85,2,200,490
0.05,0.95,2,200,491
0.15,0.95,2,200,492
0.25,0.95,2,200,493
0.35,0.95,2,200,494
0.45,0.95,2,200,495
0.55,0.95,2,200,496
0.65,0.95,2,200,497
0.75,0.95,2,200,498
0.85,0.95,2,200,499
0.95,0.95,2,200,500
0.05,0.05,3,200,501
0.15,0.05,3,200,502
0.25,0.05,3,200,503
0.35,0.05,3,200,504
0.45,0.05,3,200,505
0.55,0.05,3,200,506
0.65,0.05,3,200,507
0.75,0.05,3,200,508
0.85,0.05,3,200,509
0.95,0.05,3,200,510
0.05,0.15,3,200,511
0.15,0.15,3,200,512
0.25,0.15,3,200,513
0.35,0.15,3,200,514
0.45,0.15,3,200,515
0.55,0.15,3,200,516
0.65,0.15,3,200,517
0.75,0.15,3,200,518
0.85,0.15,3,200,519
0.95,0.15,3,200,520
0.05,0.25,3,200,521
0.15,0.25,3,200,522
0.25,0.25,3,200,523
0.35,0.25,3,200,524
0.45,0.25,3,200,525
0.55,0.25,3,200,526
0.65,0.25,3,200,527
0.75,0.25,3,200,528
0.85,0.25,3,200,529
0.95,0.25,3,200,530
0.05,0.35,3,200,531
0.15,0.35,3,200,532
0.25,0.35,3,200,533
0.35,0.35,3,200,534
0.45,0.35,3,200,535
0.55,0.35,3,200,536
0.65,0.35,3,200,537
0.75,0.35,3,200,538
0.85,0.35,3,200,539
0.95,0.35,3,200,540
0.05,0.45,3,200,541
0.15,0.45,3,200,542
0.25,0.45,3,200,543
0.35,0.45,3,200,544
0.45,0.45,3,200,545
0.55,0.45,3,200,546
0.65,0.45,3,200,547
0.75,0.45,3,200,548
0.85,0.45,3,200,549
0.95,0.45,3,200,550
0.05,0.55,3,200,551
0.15,0.55,3,200,552
0.25,0.55,3,200,553
0.35,0.55,3,200,554
0.45,0.55,3,200,555
0.55,0.55,3,200,556
0.65,0.55,3,200,557
0.75,0.55,3,200,558
0.85,0.55,3,200,559
0.95,0.55,3,200,560
0.05,0.65,3,200,561
0.15,0.65,3,200,562
0.25,0.65,3,200,563
0.35,0.65,3,200,564
0.45,0.65,3,200,565
0.55,0.65,3,200,566
0.65,0.65,3,200,567
0.75,0.65,3,200,568
0.85,0.65,3,200,569
0.95,0.65,3,200,570
0.05,0.75,3,200,571
0.15,0.75,3,200,572
0.25,0.75,3,200,573
0.35,0.75,3,200,574
0.45,0.75,3,200,575
0.55,0.75,3,200,576
0.65,0.75,3,200,577
0.75,0.75,3,200,578
0.85,0.75,3,200,579
0.95,0.75,3,200,580
0.05,0.85,3,200,581
0.15,0.85,3,200,582
0.25,0.85,3,200,583
0.35,0.85,3,200,584
0.45,0.85,3,200,585
