AlignmentType,ExpID1,ExpID2,ConsensusLength,BasePairGap,BasePairMismatch,AlignmentScore
global,JVN7,JVN9,528,4,10,415.627655029297
global,JVN7,JVN10,523,0,9,700.83349609375
global,JVN7,JVN11,659,4,12,881.356506347656
global,JVN7,JVN12,655,0,2,1663.94567871094
global,JVN7,JVN13,531,4,10,433.572875976563
global,JVN7,JVN14,891,236,78,-590.153381347656
global,JVN7,JVN15,533,4,11,421.655364990234
global,JVN7,JVN16,652,0,8,1071.62768554687
global,JVN7,JVN17,859,204,17,694.687316894531
global,JVN7,JVN18,530,0,16,512.218566894531
global,JVN7,JVN19,720,190,11,-316.362915039063
global,JVN7,JVN20,655,0,78,501.039428710938
global,JVN7,JVN21,652,0,9,1383.92993164063
global,JVN7,JVN22,657,2,11,1209.65356445313
global,JVN7,JVN23,668,13,76,342.437957763672
global,JVN7,JVN24,657,2,14,655.712890625
global,JVN7,JVN25,709,180,12,10.381591796875
global,JVN7,JVN26,655,0,12,227.474975585938
global,JVN7,JVN27,655,0,2,1264.29260253906
global,JVN7,JVN28,545,4,13,477.674285888672
global,JVN7,JVN30,897,242,76,-629.562377929688
global,JVN7,JVN31,663,110,91,-185.266723632813
global,JVN7,JVN33,667,24,104,332.51416015625
global,JVN7,JVN34,531,90,10,46.9661254882813
global,JVN7,JVN35,891,236,79,-22.6759700775147
global,JVN7,JVN36,529,89,10,50.6624450683594
global,JVN7,JVN37,789,134,78,269.039459228516
global,JVN7,JVN38,334,93,83,-1608.63720703125
global,JVN7,JVN39,667,23,105,332.522186279297
global,JVN7,JVN40,657,2,11,1193.65344238281
global,JVN7,JVN41,659,4,10,1381.95227050781
global,JVN7,JVN42,655,0,7,606.839599609375
global,JVN7,JVN44,670,27,104,-199.362854003906
global,JVN7,JVN46,890,235,77,-428.343078613281
global,JVN8,JVN9,524,0,4,984.91357421875
global,JVN8,JVN10,519,0,3,1222.26489257813
global,JVN8,JVN11,527,0,2,157.441604614258
global,JVN8,JVN12,531,4,10,734.482971191406
global,JVN8,JVN13,527,0,2,1028.62097167969
global,JVN8,JVN14,767,240,64,-1280.89465332031
global,JVN8,JVN15,525,0,2,964.657409667969
global,JVN8,JVN16,527,0,2,345.443878173828
global,JVN8,JVN17,527,0,4,-33.8126220703125
global,JVN8,JVN18,526,0,10,1032.77307128906
global,JVN8,JVN19,526,0,2,226.63916015625
global,JVN8,JVN20,527,0,63,-210.238265991211
global,JVN8,JVN21,527,0,8,583.7177734375
global,JVN8,JVN22,533,6,2,477.445892333984
global,JVN8,JVN23,527,0,62,-348.302886962891
global,JVN8,JVN24,533,6,2,-15.3791255950928
global,JVN8,JVN25,709,184,6,531.812866210938
global,JVN8,JVN26,527,0,12,-538.189086914063
global,JVN8,JVN27,531,4,6,457.097076416016
global,JVN8,JVN28,537,10,2,936.620971679688
global,JVN8,JVN30,527,0,62,-1320.3037109375
global,JVN8,JVN31,566,46,87,88.8624572753906
global,JVN8,JVN33,677,159,80,-224.350021362305
global,JVN8,JVN34,527,86,3,627.029541015625
global,JVN8,JVN35,767,240,65,-767.359741210938
global,JVN8,JVN36,525,85,3,620.726135253906
global,JVN8,JVN37,527,0,64,-450.856201171875
global,JVN8,JVN38,330,89,82,-1086.74267578125
global,JVN8,JVN39,677,159,80,-236.350112915039
global,JVN8,JVN40,533,6,2,461.445678710938
global,JVN8,JVN41,527,0,1,649.741394042969
global,JVN8,JVN42,527,0,1,-150.258605957031
global,JVN8,JVN44,677,157,88,-749.021484375
global,JVN8,JVN46,527,0,64,-1146.85546875
global,JVN9,JVN10,519,0,5,1217.03039550781
global,JVN9,JVN11,774,250,2,138.53059387207
global,JVN9,JVN12,528,4,12,697.548034667969
global,JVN9,JVN13,524,0,2,1000.67565917969
global,JVN9,JVN14,1013,489,64,-1299.80578613281
global,JVN9,JVN15,524,0,2,966.675659179688
global,JVN9,JVN16,524,0,4,309.941284179688
global,JVN9,JVN17,524,0,4,-53.5127563476563
global,JVN9,JVN18,524,0,8,1040.75720214844
global,JVN9,JVN19,524,0,2,218.675659179688
global,JVN9,JVN20,524,0,63,-229.938217163086
global,JVN9,JVN21,524,0,12,529.548095703125
global,JVN9,JVN22,702,178,2,458.534759521484
global,JVN9,JVN23,524,0,62,-367.214019775391
global,JVN9,JVN24,524,0,2,-33.3244018554688
global,JVN9,JVN25,708,184,8,516.011840820313
global,JVN9,JVN26,524,0,12,-556.13427734375
global,JVN9,JVN27,528,4,8,423.389739990234
global,JVN9,JVN28,524,0,2,918.675720214844
global,JVN9,JVN30,524,0,62,-1339.21472167969
global,JVN9,JVN31,545,29,82,80.3406829833985
global,JVN9,JVN33,680,164,82,-239.548782348633
global,JVN9,JVN34,524,86,2,606.414367675781
global,JVN9,JVN35,764,240,65,-787.726867675781
global,JVN9,JVN36,524,85,2,630.717956542969
global,JVN9,JVN37,524,0,64,-470.556427001953
global,JVN9,JVN38,330,89,82,-1074.74267578125
global,JVN9,JVN39,545,29,82,-251.548889160156
global,JVN9,JVN40,706,182,2,442.534545898438
global,JVN9,JVN41,524,0,5,597.648071289063
global,JVN9,JVN42,524,0,3,-185.760681152344
global,JVN9,JVN44,545,29,85,-763.305358886719
global,JVN9,JVN46,524,0,64,-1166.5556640625
global,JVN10,JVN11,527,0,7,377.698059082031
global,JVN10,JVN12,523,0,7,718.068237304688
global,JVN10,JVN13,519,0,5,1205.03051757813
global,JVN10,JVN14,692,165,68,-1107.99731445313
global,JVN10,JVN15,527,0,7,1258.32885742188
global,JVN10,JVN16,520,0,1,418.072540283203
global,JVN10,JVN17,645,118,3,-35.1952514648438
global,JVN10,JVN18,527,0,13,1152.62609863281
global,JVN10,JVN19,645,118,5,507.563903808594
global,JVN10,JVN20,531,4,67,-155.117523193359
global,JVN10,JVN21,520,0,10,605.53173828125
global,JVN10,JVN22,525,0,7,666.118408203125
global,JVN10,JVN23,536,9,69,-190.877624511719
global,JVN10,JVN24,525,0,7,227.201385498047
global,JVN10,JVN25,703,176,4,570.18115234375
global,JVN10,JVN26,645,118,15,-274.603942871094
global,JVN10,JVN27,523,0,7,710.068298339844
global,JVN10,JVN28,527,0,7,1210.33032226563
global,JVN10,JVN30,907,380,65,-1137.35717773438
global,JVN10,JVN31,536,22,84,281.428771972656
global,JVN10,JVN33,536,22,84,-170.571548461914
global,JVN10,JVN34,434,1,3,647.53369140625
global,JVN10,JVN35,692,165,67,-708.489624023438
global,JVN10,JVN36,434,0,3,672.099853515625
global,JVN10,JVN37,645,118,68,-309.592224121094
global,JVN10,JVN38,241,0,82,-1086.74267578125
global,JVN10,JVN39,536,21,85,-180.62223815918
global,JVN10,JVN40,525,0,7,650.118469238281
global,JVN10,JVN41,527,0,4,772.187377929688
global,JVN10,JVN42,527,0,2,96.098388671875
global,JVN10,JVN44,536,21,88,-562.472229003906
global,JVN10,JVN46,692,165,68,-1005.59143066406
