Community,Isolate1,Isolate2,PairTreeDistance
C11R2,1,5,0.294589020219575
C11R2,1,6,0.252476972760301
C11R2,1,7,0.278454617693165
C11R2,1,8,0.37614147964564
C11R2,1,9,0.422483360752917
C11R2,1,10,0.381729564756101
C11R2,1,11,0.272560484883386
C11R2,1,12,0.278861857725393
C11R2,2,3,0.379965599264491
C11R2,2,4,0.397806724802736
C11R2,2,5,0.395044988696297
C11R2,2,6,0.352932941237022
C11R2,2,7,0.378910586169886
C11R2,2,8,0.000756509310785987
C11R2,2,9,0.401248322864359
C11R2,2,10,0.360494526867542
C11R2,2,11,0.373016453360108
C11R2,2,12,0.379317826202114
C11R2,3,4,0.0768567129476869
C11R2,3,5,0.152923477787714
C11R2,3,6,0.11081143032844
C11R2,3,7,0.000323886531188639
C11R2,3,8,0.366341469899682
C11R2,3,9,0.412683351006958
C11R2,3,10,0.371929555010142
C11R2,3,11,0.193914955688898
C11R2,3,12,0
C11R2,4,5,0.170764603325959
C11R2,4,6,0.128652555866684
C11R2,4,7,0.0758016998530816
C11R2,4,8,0.384182595437926
C11R2,4,9,0.430524476545203
C11R2,4,10,0.389770680548387
C11R2,4,11,0.211756081227143
C11R2,4,12,0.0762089398853097
C11R2,5,6,0.11139486798175
C11R2,5,7,0.151868464693109
C11R2,5,8,0.381420859331487
C11R2,5,9,0.427762740438763
C11R2,5,10,0.387008944441947
C11R2,5,11,0.208994345120703
C11R2,5,12,0.152275704725337
C11R2,6,7,0.109756417233834
C11R2,6,8,0.339308811872212
C11R2,6,9,0.385650692979489
C11R2,6,10,0.344896896982673
C11R2,6,11,0.166882297661429
C11R2,6,12,0.110163657266062
C11R2,7,8,0.365286456805076
C11R2,7,9,0.411628337912353
C11R2,7,10,0.370874541915537
C11R2,7,11,0.192859942594293
C11R2,7,12,-0.000323886531188639
C11R2,8,9,0.387624193499549
C11R2,8,10,0.346870397502732
C11R2,8,11,0.359392323995298
C11R2,8,12,0.365693696837304
C11R2,9,10,0.370910646194819
C11R2,9,11,0.405734205102575
C11R2,9,12,0.412035577944581
C11R2,10,11,0.364980409105758
C11R2,10,12,0.371281781947765
C11R2,11,12,0.193267182626521
C11R5,1,2,0.404405989020389
C11R5,1,3,0.000119761472169705
C11R5,1,4,0
C11R5,1,5,0.394474499483921
C11R5,2,3,0.403958267732463
C11R5,2,4,0.40416646607605
C11R5,2,5,0.00146311443345575
C11R5,3,4,-0.000119761472169705
C11R5,3,5,0.394026778195996
C11R5,4,5,0.394234976539582
