CommunitySize,ProbPairCoexistence,Seed,Motif,Count
3,0.1,62,5,0
3,0.1,62,6,0
3,0.1,62,7,0
3,0.1,63,1,0
3,0.1,63,2,0
3,0.1,63,3,0
3,0.1,63,4,0
3,0.1,63,5,1
3,0.1,63,6,0
3,0.1,63,7,0
3,0.1,64,1,1
3,0.1,64,2,0
3,0.1,64,3,0
3,0.1,64,4,0
3,0.1,64,5,0
3,0.1,64,6,0
3,0.1,64,7,0
3,0.1,65,1,1
3,0.1,65,2,0
3,0.1,65,3,0
3,0.1,65,4,0
3,0.1,65,5,0
3,0.1,65,6,0
3,0.1,65,7,0
3,0.1,66,1,0
3,0.1,66,2,0
3,0.1,66,3,1
3,0.1,66,4,0
3,0.1,66,5,0
3,0.1,66,6,0
3,0.1,66,7,0
3,0.1,67,1,1
3,0.1,67,2,0
3,0.1,67,3,0
3,0.1,67,4,0
3,0.1,67,5,0
3,0.1,67,6,0
3,0.1,67,7,0
3,0.1,68,1,0
3,0.1,68,2,0
3,0.1,68,3,0
3,0.1,68,4,1
3,0.1,68,5,0
3,0.1,68,6,0
3,0.1,68,7,0
3,0.1,69,1,0
3,0.1,69,2,1
3,0.1,69,3,0
3,0.1,69,4,0
3,0.1,69,5,0
3,0.1,69,6,0
3,0.1,69,7,0
3,0.1,70,1,0
3,0.1,70,2,0
3,0.1,70,3,0
3,0.1,70,4,0
3,0.1,70,5,1
3,0.1,70,6,0
3,0.1,70,7,0
3,0.1,71,1,1
3,0.1,71,2,0
3,0.1,71,3,0
3,0.1,71,4,0
3,0.1,71,5,0
3,0.1,71,6,0
3,0.1,71,7,0
3,0.1,72,1,0
3,0.1,72,2,0
3,0.1,72,3,1
3,0.1,72,4,0
3,0.1,72,5,0
3,0.1,72,6,0
3,0.1,72,7,0
3,0.1,73,1,0
3,0.1,73,2,1
3,0.1,73,3,0
3,0.1,73,4,0
3,0.1,73,5,0
3,0.1,73,6,0
3,0.1,73,7,0
3,0.1,74,1,0
3,0.1,74,2,1
3,0.1,74,3,0
3,0.1,74,4,0
3,0.1,74,5,0
3,0.1,74,6,0
3,0.1,74,7,0
3,0.1,75,1,0
3,0.1,75,2,1
3,0.1,75,3,0
3,0.1,75,4,0
3,0.1,75,5,0
3,0.1,75,6,0
3,0.1,75,7,0
3,0.1,76,1,0
3,0.1,76,2,1
3,0.1,76,3,0
3,0.1,76,4,0
3,0.1,76,5,0
3,0.1,76,6,0
3,0.1,76,7,0
3,0.1,77,1,0
3,0.1,77,2,1
3,0.1,77,3,0
3,0.1,77,4,0
3,0.1,77,5,0
3,0.1,77,6,0
3,0.1,77,7,0
3,0.1,78,1,0
3,0.1,78,2,1
3,0.1,78,3,0
3,0.1,78,4,0
3,0.1,78,5,0
3,0.1,78,6,0
3,0.1,78,7,0
3,0.1,79,1,1
3,0.1,79,2,0
3,0.1,79,3,0
3,0.1,79,4,0
3,0.1,79,5,0
3,0.1,79,6,0
3,0.1,79,7,0
3,0.1,80,1,0
3,0.1,80,2,1
3,0.1,80,3,0
3,0.1,80,4,0
3,0.1,80,5,0
3,0.1,80,6,0
3,0.1,80,7,0
3,0.1,81,1,0
3,0.1,81,2,0
3,0.1,81,3,0
3,0.1,81,4,0
3,0.1,81,5,1
3,0.1,81,6,0
3,0.1,81,7,0
3,0.1,82,1,0
3,0.1,82,2,1
3,0.1,82,3,0
3,0.1,82,4,0
3,0.1,82,5,0
3,0.1,82,6,0
3,0.1,82,7,0
3,0.1,83,1,0
3,0.1,83,2,1
