Sample,Mixture,Time,Community,Isolate1,Isolate2,Isolate1Freq,Isolate2Freq,Isolate1FreqPredicted,Isolate2FreqPredicted,RSquare
131,AcrAss1_95_5_3_5,T0,AcrAss1,3,5,0.95,0.05,0.971071210277397,0.0289287897226031,0.95587052398088
132,AcrAss1_95_5_4_5,T0,AcrAss1,4,5,0.95,0.05,0.883647088835103,0.116352911164897,0.708285860049666
134,AcrAss1_95_5_6_5,T0,AcrAss1,5,6,0.05,0.95,0.468418342727669,0.531581657272332,0.891047095306054
135,AcrAss1_95_5_7_5,T0,AcrAss1,5,7,0.05,0.95,0.0855773265505187,0.914422673449481,0.745696320857183
136,AcrAss1_95_5_8_5,T0,AcrAss1,5,8,0.05,0.95,0.163407437795043,0.836592562204957,0.724722934372671
137,AcrAss1_95_5_1_6,T0,AcrAss1,1,6,0.95,0.05,0.958854475306422,0.0411455246935775,0.932932339836678
138,AcrAss1_95_5_2_6,T0,AcrAss1,2,6,0.95,0.05,0.965336184755539,0.034663815244461,0.932896315073799
139,AcrAss1_95_5_3_6,T0,AcrAss1,3,6,0.95,0.05,0.984612977236896,0.0153870227631042,0.951745449541932
140,AcrAss1_95_5_4_6,T0,AcrAss1,4,6,0.95,0.05,0.914401511433394,0.0855984885666057,0.708736119440107
141,AcrAss1_95_5_5_6,T0,AcrAss1,5,6,0.95,0.05,0.970296035620286,0.0297039643797144,0.962223533251638
143,AcrAss1_95_5_7_6,T0,AcrAss1,6,7,0.05,0.95,0.0211225381680936,0.978877461831906,0.937734975274386
144,AcrAss1_95_5_8_6,T0,AcrAss1,6,8,0.05,0.95,0.0679217958183,0.9320782041817,0.712595326871288
145,AcrAss1_95_5_1_7,T0,AcrAss1,1,7,0.95,0.05,0.693255917528517,0.306744082471484,0.923747844981796
146,AcrAss1_95_5_2_7,T0,AcrAss1,2,7,0.95,0.05,0.636624106486569,0.363375893513431,0.465544446566611
147,AcrAss1_95_5_3_7,T0,AcrAss1,3,7,0.95,0.05,0.943813141598594,0.056186858401406,0.954172962165441
148,AcrAss1_95_5_4_7,T0,AcrAss1,4,7,0.95,0.05,0.148178172364648,0.851821827635352,0.874746411230339
149,AcrAss1_95_5_5_7,T0,AcrAss1,5,7,0.95,0.05,0.865876774875312,0.134123225124688,0.750585478630065
150,AcrAss1_95_5_6_7,T0,AcrAss1,6,7,0.95,0.05,0.547300083175521,0.452699916824479,0.880600275713617
152,AcrAss1_95_5_8_7,T0,AcrAss1,7,8,0.05,0.95,0.127770244704492,0.872229755295508,0.72073336984114
153,AcrAss1_95_5_1_8,T0,AcrAss1,1,8,0.95,0.05,0.536396841662943,0.463603158337057,0.9014891025895
154,AcrAss1_95_5_2_8,T0,AcrAss1,2,8,0.95,0.05,0.441122907939983,0.558877092060017,0.606822098321621
155,AcrAss1_95_5_3_8,T0,AcrAss1,3,8,0.95,0.05,0.967577483078606,0.0324225169213938,0.94557489919454
156,AcrAss1_95_5_4_8,T0,AcrAss1,4,8,0.95,0.05,0.928755230288257,0.0712447697117434,0.873173209273149
157,AcrAss1_95_5_5_8,T0,AcrAss1,5,8,0.95,0.05,0.919126246558644,0.0808737534413563,0.931872667145597
158,AcrAss1_95_5_6_8,T0,AcrAss1,6,8,0.95,0.05,0.418263951193378,0.581736048806622,0.872415933313848
159,AcrAss1_95_5_7_8,T0,AcrAss1,7,8,0.95,0.05,0.911445752168366,0.0885542478316344,0.744956032767016
162,RanAss2_95_5_2_1,T0,RanAss2,1,2,0.05,0.95,0.065376587776077,0.934623412223923,0.937456616629473
163,RanAss2_95_5_3_1,T0,RanAss2,1,3,0.05,0.95,,,
164,RanAss2_95_5_4_1,T0,RanAss2,1,4,0.05,0.95,0.738503083583548,0.261496916416452,0.797896878307693
165,RanAss2_95_5_5_1,T0,RanAss2,1,5,0.05,0.95,0.674220770382591,0.325779229617409,0.734302192591963
166,RanAss2_95_5_6_1,T0,RanAss2,1,6,0.05,0.95,,,
167,RanAss2_95_5_7_1,T0,RanAss2,1,7,0.05,0.95,0.509431104686446,0.490568895313554,0.52699449139341
168,RanAss2_95_5_8_1,T0,RanAss2,1,8,0.05,0.95,0.748621234148275,0.251378765851725,0.910409246096259
169,RanAss2_95_5_1_2,T0,RanAss2,1,2,0.95,0.05,0.926723088164215,0.0732769118357847,0.940581240195083
171,RanAss2_95_5_3_2,T0,RanAss2,2,3,0.05,0.95,,,
172,RanAss2_95_5_4_2,T0,RanAss2,2,4,0.05,0.95,0.567914634744218,0.432085365255782,0.931324610020668
173,RanAss2_95_5_5_2,T0,RanAss2,2,5,0.05,0.95,0.048125633957698,0.951874366042302,0.908797792095448
174,RanAss2_95_5_6_2,T0,RanAss2,2,6,0.05,0.95,,,
175,RanAss2_95_5_7_2,T0,RanAss2,2,7,0.05,0.95,0.196563415698226,0.803436584301774,0.943141546710702
176,RanAss2_95_5_8_2,T0,RanAss2,2,8,0.05,0.95,0.915897901710739,0.0841020982892611,0.951672369701933
177,RanAss2_95_5_1_3,T0,RanAss2,1,3,0.95,0.05,,,
178,RanAss2_95_5_2_3,T0,RanAss2,2,3,0.95,0.05,,,
180,RanAss2_95_5_4_3,T0,RanAss2,3,4,0.05,0.95,,,
181,RanAss2_95_5_5_3,T0,RanAss2,3,5,0.05,0.95,,,
182,RanAss2_95_5_6_3,T0,RanAss2,3,6,0.05,0.95,,,
183,RanAss2_95_5_7_3,T0,RanAss2,3,7,0.05,0.95,,,
184,RanAss2_95_5_8_3,T0,RanAss2,3,8,0.05,0.95,,,
185,RanAss2_95_5_1_4,T0,RanAss2,1,4,0.95,0.05,0.982517012485284,0.0174829875147164,0.956704757375856
186,RanAss2_95_5_2_4,T0,RanAss2,2,4,0.95,0.05,0.93991173618606,0.0600882638139398,0.959373633427745
187,RanAss2_95_5_3_4,T0,RanAss2,3,4,0.95,0.05,,,
189,RanAss2_95_5_5_4,T0,RanAss2,4,5,0.05,0.95,0.902286344006294,0.0977136559937064,0.805301142729
190,RanAss2_95_5_6_4,T0,RanAss2,4,6,0.05,0.95,,,
191,RanAss2_95_5_7_4,T0,RanAss2,4,7,0.05,0.95,0.930584834062667,0.0694151659373329,0.804538572649312
192,RanAss2_95_5_8_4,T0,RanAss2,4,8,0.05,0.95,0.0213801809800797,0.97861981901992,0.953136268389334
194,AcrAss1_95_5_2_1,T3,AcrAss1,1,2,0.05,0.95,0.077388927906116,0.922611072093884,0.94716968890956
195,AcrAss1_95_5_3_1,T3,AcrAss1,1,3,0.05,0.95,0.0742521244336353,0.925747875566365,0.951120246714678
196,AcrAss1_95_5_4_1,T3,AcrAss1,1,4,0.05,0.95,0.065076831680638,0.934923168319362,0.886880989607419
