Assembly,ExpID,ID,Community,Isolate,Family,Genus,r_glucose_curver,r_lactate_curver,r_succinate_curver,r_acetate_curver,r_ketogluconate_midhr,r_acetate_midhr,r_glucose_midhr,r_lactate_midhr,r_gluconate_midhr,r_succinate_midhr,r_lactate_maxhr,r_succinate_maxhr,r_glucose_maxhr,r_acetate_maxhr,r_acetate_12hr,r_acetate_16hr,r_acetate_28hr,r_glucose_12hr,r_glucose_16hr,r_glucose_28hr,r_lactate_12hr,r_lactate_16hr,r_lactate_28hr,r_succinate_12hr,r_succinate_16hr,r_succinate_28hr,X_acetate_0hr,X_acetate_16hr,X_acetate_28hr,X_acetate_48hr,X_succinate_0hr,X_succinate_16hr,X_succinate_28hr,X_succinate_48hr,X_lactate_0hr,X_lactate_16hr,X_lactate_28hr,X_lactate_48hr,X_sum_0hr,X_sum_16hr,X_sum_28hr,X_sum_48hr,pH_0hr,pH_16hr,pH_28hr,pH_48hr,PreferredCS,SecretedCS,leakiness_16hr,leakiness_28hr,leakiness_48hr
self_assembly,1.6.A.2,273,C1R6,2,Enterobacteriaceae,Enterobacter,0.5707443133472464,0.18779444127527983,0.16103395814807553,0.18712288746244432,0.122951267057169,0.0128810019496945,0.178029832967903,0.0615633052916791,0.14629821196792,0.00952011453681699,0.260543175,0.185080099,0.544503311,0.149242198,0.021713459597690814,0.022528012398731256,0.015573392288179527,0.06931307395345321,0.05217232541725236,0.03028599630982209,0.02072016051702441,0.019121083134920336,0.027374301673039537,0.012177336306519848,0.016844559013619767,0.02433004419198526,0,9.567200465,10.44589314,8.289385832,0,0.648909801,0.57207215,0.268392969,0,0.58355733,0.14869876,0,0,23.480712124000004,23.626171160000002,17.65234354,6.915059278,5.770577991,5.837049623,6.021600937,lactate,acetate,0.3522106818600001,0.3543925674000001,0.26478515310000006
self_assembly,1.6.A.4,274,C1R6,3,Pseudomonadaceae,Pseudomonas,0.1294260344924316,0.15900249995383647,0.34357757785844556,0.29348578964983857,0.00885477761008551,0.0419678616203641,0.0190485816354728,0.0685256076267999,0.0732296380968413,0.0983431708973995,0.80500595,0.332867786,0.360285844,0.17933414,NA,0.002921824539390966,0.012361441291848818,0.041036501066980674,0.03430090496092108,0.021078827304748648,0.04993277922302994,0.053324105891099725,0.03770357679278936,0.03201783201377332,0.033569949024684236,0.03272004985141793,0,0,0.585099089,0.659471713,0,0.011131073,0.013753518,0.016638208,0,0,0,0,0,0.044524292,1.22521225,1.3854962579999999,6.933952033,6.599563082,6.350299123,6.281129459,NA,succinate,NA,0.01913944004919343,0.02078244387
self_assembly,1.6.A.5,438,C1R6,4,Enterobacteriaceae,Serratia,0.48691813703815146,0.12050301314359708,0.2819316009852338,0.11984556131293023,0.0845457902948261,0.00583644621929376,0.121483211687219,0.00699568974307181,0.123507529829336,0.084192553331767,0.328994045,0.459896529,0.724565152,0.101303997,0.005996394255364986,0.007583843842121893,0.01127362096122866,0.06906239698607745,0.0556115325132754,0.03313048209142968,0.01640623874824777,0.013785595673573958,0.009810752033629713,0.04524132156685207,0.04188598820158921,0.03214307950838855,0,8.448290416,9.237462493,0.117842006,0,0.795242256,0.667004674,0.004837204,0,2.863576405,4.991106205,4.121036798,0,28.668279071,36.116262297000006,12.618143221999999,7.004944103,5.818615102,6.200498901,6.434561555,succinate,acetate,0.4819189944384352,0.541743934455,0.18927214833000003
self_assembly,1.6.A.6,439,C1R6,5,Enterobacteriaceae,Citrobacter,0.8135462282468735,0.20979357321487738,0.15183024590070124,0.1129347281639335,0.0968829566199876,0.0131164877493999,0.127919540600791,0.0808495256681441,0.118266675468133,0.0512665203356068,0.352457207,0.395158495,0.886795073,0.213834655,0.0270524846737973,0.02817305091111212,0.022572257668050204,0.09409626841745529,0.07500809374519501,0.042228597605810304,0.035734714595425605,0.03726922890242944,0.03056601615481608,0.038837985714125216,0.03535992136010807,0.026361504582077398,0,10.41512449,17.21310474,28.77711819,0,0.491300831,0.443047835,0.395843817,0,4.359141365,5.081618494,0.101471121,0,35.872876399000006,51.443256301999995,59.442025011,7.002884355,4.558795489,4.790191863,4.933713412,lactate,acetate,0.5418902086090381,0.77164884453,0.8916303751650001
self_assembly,1.7.A.1,440,C1R7,1,Enterobacteriaceae,Enterobacter,0.8600650919707085,0.1785924332999695,0.09597261845571482,0.15901260063944347,0.119524269311306,0.0132330337443037,0.187808268663721,0.0579247492157651,0.143525040997336,0.0109526012805268,0.353251478,0.209102879,0.55826795,0.149796715,0.02619949643516357,0.0214399461669683,0.01515246240694239,0.07986820417445507,0.06037322424899418,0.034977742959882145,0.02762660981765679,0.022927955009601528,0.02524269078028483,0.01835791012897788,0.017827233030046824,0.01958847011626181,0,9.925601337,9.358305557,7.253224655,0,0.626881259,0.503626324,0.201782855,0,0.551668951,0.210117813,0,0,24.013734563,21.361469849,15.31358073,6.991876505,5.872204748,6.066353964,6.212527516,acetate,acetate,0.36020601844500005,0.32042204773500005,0.22970371095000003
self_assembly,1.7.A.1.2,441,C1R7,2,Pseudomonadaceae,Pseudomonas,0.09887873701341329,0.15186705748348167,0.2649217288228994,0.17636364214077754,0.0479337508623737,0.0155119182145241,0.00617363135935348,0.077203053453632,0.0603541278895419,0.0912417426559603,1.009212379,0.178363235,0.538781812,0.207219463,0.008766223201045234,0.008356035977319792,0.011859436764426785,0.039502514811876714,0.03719211690420602,0.02910858991219532,0.05748325341757105,0.04923543869845267,0.035244234069358185,0.024369151991838634,0.024188587561943052,0.02243649735090203,0,0,0.319244347,0,0,0.011131073,0.019785143,0.022932077,0,0,0.029093236,0,0,0.044524292,0.8049089739999999,0.091728308,6.943469461,6.656782624,6.3585967,6.422224335,acetate,succinate,NA,0.012073634610000002,0.00137592462
self_assembly,1.7.A.3,283,C1R7,3,Enterobacteriaceae,Enterobacter,0.8107888799590072,0.1477059539775663,0.08918025956215825,0.07016857427350436,0.119800847853893,0.00180454770741383,0.152953004107489,0.0286487092487227,0.123403468200439,0.0046930378020121,0.193327671,0.174618935,0.813883816,0.335159464,0.0170099985546604,0.030457325074055602,0.03345352099903657,0.08646030553435008,0.06626481565057254,0.038946697192818784,0.017095254676125327,0.01881437472899883,0.02845936478940169,0.029636503664439578,0.026422724524816865,0.01953204765604071,0,9.479785617,14.67540039,22.27756172,0,0.513853861,0.528277311,0.461929442,0,5.303037374,6.678513873,1.715189263,0,36.924098799999996,51.499451643,51.548408997,6.933952033,5.09054523,5.147107317,5.298650269,lactate,acetate,0.5538614820000001,0.7724917746450001,0.7732261349550001
self_assembly,1.7.A.4,284,C1R7,4,Enterobacteriaceae,Serratia,0.3141987075413223,0.14524386145565038,0.17006212072156113,0.0870226920694172,0.0722713140728713,0.0101866719971389,0.115236085104251,0.0077885832896074,0.117985211128033,0.0666324825304445,0.494176941,0.478158134,0.317415729,0.281689874,0.012558299896060129,0.023341057160135945,0.02609295900732456,0.054737740931955124,0.04481340668935384,0.026441524624794422,0.015135312304636847,0.015486530231922258,0.014212143166858485,0.041778255618685665,0.04794474694651531,0.03298613050487662,0,6.533905255,6.337228949,4.3095849490000004,0,0.809403461,0.762461688,0.002214758,0,2.503237726,3.788585798,3.089959283,0,23.815137532,27.090062044,17.897906779000003,6.943469461,5.895514698,6.27687424,6.408293596,succinate,acetate,0.37104079296918924,0.40635093066000005,0.26846860168500003
self_assembly,1.7.A.5,442,C1R7,5,Enterobacteriaceae,Enterobacter,0.15996267662166688,0.185052018365367,0.10062544129659201,0.028636615316648184,0.121692283902879,5.8779029822731e-4,0.197770345744798,0.0478088979422026,0.139770598512143,0.00557273149999918,0.179591548,0.153989774,0.950480242,0.110925778,0.014214902868114518,0.013570506933985746,0.013009715736077081,0.09919430818085762,0.07267449499029086,0.040959500156757186,0.02508583297199844,0.020952756012192687,0.024234398356255012,0.026915380962669294,0.023084582132712354,0.016730597795289605,0,10.37141707,14.65123178,21.64173554,0,0.559222167,0.577054796,0.571547661,0,4.636570259,6.516884786,1.81011386,0,36.889433585,51.161337102000005,51.000003304,6.991876505,5.28348553,5.322428129,5.519731768,lactate,acetate,0.553341503775,0.7674200565300002,0.7650000495600001
self_assembly,1.7.B.3,286,C1R7,6,Enterobacteriaceae,Citrobacter,0.5497796897866091,0.236433154447551,0.17248668474491216,0.07932324528368528,0.081948731555114,0.006084368146642,0.106941731162462,0.0778125499576631,0.124773825391727,0.0588955853440081,0.217412082,0.243130077,0.76997035,0.172389063,0.0226706118973638,0.023155164907377304,0.01991151535319238,0.07952020911994373,0.062363942546607834,0.0371573046040771,0.03505976862680063,0.03865315046975823,0.031989998727590806,0.03075947354111096,0.028891286542361262,0.0229933835512487,0,9.680839767,14.55455732,27.08158172,0,0.377748944,0.415774402,0.290946,0,3.785150549,6.429605079,0.533541698,0,32.228126957,50.061027485000004,56.927572534,6.943469461,4.558795489,4.396847042,4.776709061,lactate,acetate,0.5624177127387051,0.7509154122750001,0.8539135880100001
self_assembly,1.7.B.4,287,C1R7,7,Enterobacteriaceae,Raoultella,0.47811905617353895,0.13242788033717415,0.135812693951553,0.15471899509366235,0.118433472674541,0.0370641659369645,0.190134719495794,0.0683582432124917,0.135811917503349,0.042375728929937,0.350489984,0.20338518,0.463091014,0.164726519,0.028204707800383737,0.03202053518418933,0.028618838256766966,0.05735629018122348,0.04390481950485696,0.026055670965433535,0.03620473687481667,0.033105153333455144,0.028456905729989348,0.019817589879384267,0.019278375858949256,0.01598629387435208,0,8.84165723,8.222380752,6.735144067,0,0.325824524,0.00693516,0.007197405,0,3.003885271,4.289635968,2.788819184,0,27.998268368999998,29.341410048,21.865535305999998,6.89168356,5.818615102,6.252164236,6.394949193,succinate,acetate,0.419974025535,0.4401211507200001,0.3279830295900001
self_assembly,2.6.A.1,276,C2R6,1,Enterobacteriaceae,Enterobacter,0.8717650069822941,0.1717241785720403,0.11407776813911175,0.06457628699007963,0.108298533656874,0.00294192548813616,0.184671414501991,0.0441107672544468,0.136722371416952,0.00582680847608706,0.264759247,0.187368996,0.953891358,0.105925458,0.014804455925561158,0.015210830112724893,0.01745368311676706,0.09601159399417941,0.07101118778352662,0.04085186612593259,0.01998002824375487,0.018575224238183016,0.021838609476911696,0.029431645868775936,0.025935834248176127,0.019838204323733916,0,9.523493041,13.61198142,24.39698231,0,0.564729302,0.498119189,0.444359057,0,5.111707102,6.180696285,1.112909064,0,36.641024595999994,47.758528451,53.91012804,6.985988638,4.954870624,4.976675107,5.151622875,lactate,acetate,0.5502313804820185,0.7163779267650001,0.8086519206
self_assembly,2.6.A.2,277,C2R6,2,Enterobacteriaceae,Raoultella,0.6356782661905345,0.14612284462419067,0.13398634624648775,0.14754161204026506,0.121167607890733,0.0302177267647071,0.148574367576255,0.0479166081866297,0.139003380824257,0.0183267035810669,0.457081993,0.30406754,0.760386082,0,1.9510131790854515e-4,7.326159675317967e-5,NA,0.09422883401550397,0.07183113015423405,0.04252467027235606,0.032228509072546985,0.02948905718185712,0.024330044191985256,0.02508583297199844,0.02260798975109956,0.025270363432069155,0,9.567200465,11.63015517,18.29776084,0,0.303009249,0.302222515,0.308516384,0,6.007770542,7.871336535,3.882088676,0,38.369749552,48.083210005,49.475853244,6.841021978,4.893136579,5.285247846,5.836401587,lactate,acetate,0.5755462432800003,0.7212481500750001,0.7421377986600001
self_assembly,2.6.A.3,278,C2R6,3,Enterobacteriaceae,Citrobacter,0.5418028146444761,0.20754446937423007,0.15285659393266654,0.1325696089260144,0.100792964589779,0.0264036402125835,0.139738815066089,0.079450699926832,0.115254674167864,0.0670841529101752,0.318719026,0.327112839,0.943012421,0,7.889403815777851e-4,6.64769677861568e-4,1.6997997199917427e-4,0.06632333477867293,0.07168142937051243,0.04238625444455194,0.03888798508679145,0.03726276541743189,0.03121521414143196,0.04370459445960772,0.03847894798117993,0.028703762673429705,0,10.37141707,15.06209819,24.9150629,0,0.432558053,0.411840734,0.291470489,0,4.406973933,5.967345891,0.098197859,0,35.693988151,49.673596989,51.290601333,6.953037794,4.706966936,4.662880112,5.051537788,lactate,acetate,0.5923362272679169,0.745103954835,0.7693590199950001
self_assembly,2.6.A.5,NA,C2R6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
self_assembly,2.8.A.1,288,C2R8,1,Enterobacteriaceae,Raoultella,0.6416014764165651,0.12470173130558562,0.1245936148586762,0.12701320342375835,0.126911365801163,0.0159616840895322,0.150658997048209,0.0246037923628537,0.138358193967931,0.0159857837426562,0.489018553,0.340616012,0.773961834,0.164325277,0.019892524600801004,0.02327623339651959,0.02258952626262639,0.0894647807108022,0.06802270559910123,0.039996375427456314,0.024549657138214276,0.019601195185750105,0.014572869127727262,0.03066473210788286,0.025935834248176123,0.019771905794875217,0,8.438348263,11.48514349,9.325547009,0,0.297633253,0.251122126,0,0,4.566415826,8.517852883,7.623427088,0,31.766477016,49.528334133,41.521375281999994,6.915059278,5.306853687,5.966499379,6.160728101,lactate,acetate,0.4764971552400001,0.7429250119950002,0.62282062923
self_assembly,2.8.A.2,289,C2R8,2,Enterobacteriaceae,Citrobacter,0.8520158147993223,0.1954110227156398,0.14205879119170936,0.13620774078575731,0.0924844817733646,0.0237032318522091,0.1335567042847,0.0817372154314197,0.127634387190329,0.0667000664386259,0.29456711,0.315438328,0.794833418,0.336787375,0.03181516072590307,0.02815730379892352,0.0225137018489056,0.08863908998911478,0.07360077701101338,0.04197602392065218,0.03407136859676133,0.03623647478855063,0.03164205992431423,0.04151365478826999,0.039443637467798214,0.03018207285765203,0,9.633606276,15.83549381,23.10178084,0,0.474843246,0.459252924,0.471725181,0,3.896759874,5.498621538,1.639904238,0,32.856865158,50.003863929999994,53.010175118,6.991876505,4.893136579,4.706966936,4.817776053,lactate,acetate,0.5439554906045486,0.75005795895,0.7951526267700001
self_assembly,2.8.A.3,290,C2R8,3,Pseudomonadaceae,Pseudomonas,0.17556908939566934,0.21139314427906902,0.20289094681051556,0.21477633686088932,0.0201701293348344,0.0353844660441772,0.0223966459281744,0.0923320706972576,0.0683193914857683,0.0930059844662442,0.327036817,0.183726337,0.237917088,0.143653003,0.01171629558985643,0.012061476033622828,0.017144405287281488,0.04403608376748793,0.03404261801519658,0.02087536970755588,0.022499646827001046,0.024908663925071104,0.022335122139663797,0.025630071901911577,0.03218186347556638,0.028292120445195464,0,0.045558306,0.077558218,0.471078771,0,0.001936815,0.005574556,0.014928749,0,0,0,0,0,0.098863872,0.17741466,1.001872538,6.964590871,6.337729291,6.3585967,6.488767545,NA,acetate,0.001621270436203662,0.0026612199000000006,0.015028088070000003
self_assembly,2.8.B.2,444,C2R8,4,Pseudomonadaceae,Pseudomonas,0.18581599304947713,0.21353291333670762,0.22175312869077846,0.2090541637181848,0.0150328270331406,0.0403378789714057,0.0353389185239938,0.0897096897188352,0.0696970761131993,0.0990154029922875,0.388728851,0.332687248,0.594327192,0.141953854,0.01228296558785208,0.012600851705934488,0.017750771764617212,0.08270146304165947,0.0625,0.036097280906849036,0.027778396874784162,0.029598498372188295,0.02511380316918508,0.029037887132676604,0.031831621130691476,0.02861401979697054,0,0.088864755,0.101726831,0,0,0.001676976,0.005314718,0.015708266,0,0,0.003232582,0.013093048,0,0.184437414,0.23441028000000003,0.102112208,6.953037794,6.330750217,6.400972425,6.461916151,acetate,acetate,0.0030580546082962456,0.003516154200000001,0.0015316831200000002
