Community,Isolate1,Isolate2,Isolate1Freq,Isolate2Freq,Time,Isolate1CFUFreq
C8R4,1,3,95,5,Isolate1CFUFreqT0,0.960708534621578
C8R4,2,3,5,95,Isolate1CFUFreqT0,0.198290245598301
C8R4,2,3,50,50,Isolate1CFUFreqT0,0.824541392460933
C8R4,2,3,95,5,Isolate1CFUFreqT0,0.988924287897139
C10R2,1,2,5,95,Isolate1CFUFreqT0,0.0945976555863866
C10R2,1,2,50,50,Isolate1CFUFreqT0,0.66500796178344
C10R2,1,2,95,5,Isolate1CFUFreqT0,0.974172063472576
C10R2,1,3,5,95,Isolate1CFUFreqT0,0
C10R2,1,3,50,50,Isolate1CFUFreqT0,0
C10R2,1,3,95,5,Isolate1CFUFreqT0,0
C10R2,2,3,5,95,Isolate1CFUFreqT0,0
C10R2,2,3,50,50,Isolate1CFUFreqT0,0
C10R2,2,3,95,5,Isolate1CFUFreqT0,0
C11R1,1,2,5,95,Isolate1CFUFreqT0,1
C11R1,1,2,50,50,Isolate1CFUFreqT0,1
C11R1,1,2,95,5,Isolate1CFUFreqT0,1
C11R1,1,3,5,95,Isolate1CFUFreqT0,0.288517055747236
C11R1,1,3,50,50,Isolate1CFUFreqT0,0.885120672387724
C11R1,1,3,95,5,Isolate1CFUFreqT0,0.993215322469344
C11R1,1,4,5,95,Isolate1CFUFreqT0,0.222069279733286
C11R1,1,4,50,50,Isolate1CFUFreqT0,0.844328144118712
C11R1,1,4,95,5,Isolate1CFUFreqT0,0.990389384271568
C11R1,1,5,5,95,Isolate1CFUFreqT0,0.437750151934149
C11R1,1,5,50,50,Isolate1CFUFreqT0,0.93668002985557
C11R1,1,5,95,5,Isolate1CFUFreqT0,0.996454696676014
C11R1,1,6,5,95,Isolate1CFUFreqT0,0.401564759946051
C11R1,1,6,50,50,Isolate1CFUFreqT0,0.927269908823156
C11R1,1,6,95,5,Isolate1CFUFreqT0,0.995888831977415
C11R1,1,7,5,95,Isolate1CFUFreqT0,0.415288682436698
C11R1,1,7,50,50,Isolate1CFUFreqT0,0.931009112004075
C11R1,1,7,95,5,Isolate1CFUFreqT0,0.996114976304224
C11R1,1,8,5,95,Isolate1CFUFreqT0,0.00295122848249446
C11R1,1,8,50,50,Isolate1CFUFreqT0,0.0532448616280951
C11R1,1,8,95,5,Isolate1CFUFreqT0,0.516568878605074
C11R1,1,9,5,95,Isolate1CFUFreqT0,0.171635117007005
C11R1,1,9,50,50,Isolate1CFUFreqT0,0.797437673130194
C11R1,1,9,95,5,Isolate1CFUFreqT0,0.986807090343241
C11R1,2,3,5,95,Isolate1CFUFreqT0,0
C11R1,2,3,50,50,Isolate1CFUFreqT0,0
C11R1,2,3,95,5,Isolate1CFUFreqT0,0
C11R1,2,4,5,95,Isolate1CFUFreqT0,0
C11R1,2,4,50,50,Isolate1CFUFreqT0,0
C11R1,2,4,95,5,Isolate1CFUFreqT0,0
C11R1,2,5,5,95,Isolate1CFUFreqT0,0
C11R1,2,5,50,50,Isolate1CFUFreqT0,0
C11R1,2,5,95,5,Isolate1CFUFreqT0,0
C11R1,2,6,5,95,Isolate1CFUFreqT0,0
C11R1,2,6,50,50,Isolate1CFUFreqT0,0
C11R1,2,6,95,5,Isolate1CFUFreqT0,0
C11R1,2,7,5,95,Isolate1CFUFreqT0,0
C11R1,2,7,50,50,Isolate1CFUFreqT0,0
C11R1,2,7,95,5,Isolate1CFUFreqT0,0
C11R1,2,8,5,95,Isolate1CFUFreqT0,0
C11R1,2,8,50,50,Isolate1CFUFreqT0,0
C11R1,2,8,95,5,Isolate1CFUFreqT0,0
C11R1,2,9,5,95,Isolate1CFUFreqT0,0
C11R1,2,9,50,50,Isolate1CFUFreqT0,0
C11R1,2,9,95,5,Isolate1CFUFreqT0,0
C11R1,3,4,5,95,Isolate1CFUFreqT0,0.0357262400301459
C11R1,3,4,50,50,Isolate1CFUFreqT0,0.413127622007897
C11R1,3,4,95,5,Isolate1CFUFreqT0,0.930434838371925
C11R1,3,5,5,95,Isolate1CFUFreqT0,0.0917760400044307
C11R1,3,5,50,50,Isolate1CFUFreqT0,0.657528404042316
C11R1,3,5,95,5,Isolate1CFUFreqT0,0.973318429731393
C11R1,3,6,5,95,Isolate1CFUFreqT0,0.0801145816550062
C11R1,3,6,50,50,Isolate1CFUFreqT0,0.623316180595472
C11R1,3,6,95,5,Isolate1CFUFreqT0,0.969174031350229
C11R1,3,7,5,95,Isolate1CFUFreqT0,0.0844020167609414
C11R1,3,7,50,50,Isolate1CFUFreqT0,0.636557323891246
C11R1,3,7,95,5,Isolate1CFUFreqT0,0.970826637701124
C11R1,3,8,5,95,Isolate1CFUFreqT0,0.00038402457757296
C11R1,3,8,50,50,Isolate1CFUFreqT0,0.00724637681159411
C11R1,3,8,95,5,Isolate1CFUFreqT0,0.12179487179487
C11R1,3,9,5,95,Isolate1CFUFreqT0,0.0261878039655814
C11R1,3,9,50,50,Isolate1CFUFreqT0,0.338164251207727
C11R1,3,9,95,5,Isolate1CFUFreqT0,0.906612133605998
C11R1,4,5,5,95,Isolate1CFUFreqT0,0.125528276678702
C11R1,4,5,50,50,Isolate1CFUFreqT0,0.731716731376154
C11R1,4,5,95,5,Isolate1CFUFreqT0,0.981068016387638
C11R1,4,6,5,95,Isolate1CFUFreqT0,0.110098005342681
C11R1,4,6,50,50,Isolate1CFUFreqT0,0.701551844493368
C11R1,4,6,95,5,Isolate1CFUFreqT0,0.978100262812607
C11R1,4,7,5,95,Isolate1CFUFreqT0,0.115788067172009
C11R1,4,7,50,50,Isolate1CFUFreqT0,0.713307770810847
C11R1,4,7,95,5,Isolate1CFUFreqT0,0.979284554848863
C11R1,4,8,5,95,Isolate1CFUFreqT0,0.000545441679384243
C11R1,4,8,50,50,Isolate1CFUFreqT0,0.0102626338796526
C11R1,4,8,95,5,Isolate1CFUFreqT0,0.164586420551173
C11R1,4,9,5,95,Isolate1CFUFreqT0,0.0367960795910606
C11R1,4,9,50,50,Isolate1CFUFreqT0,0.420569773056493
C11R1,4,9,95,5,Isolate1CFUFreqT0,0.932390557214491
C11R1,5,6,5,95,Isolate1CFUFreqT0,0.0433931674612941
C11R1,5,6,50,50,Isolate1CFUFreqT0,0.462905407875974
C11R1,5,6,95,5,Isolate1CFUFreqT0,0.94244776259751
C11R1,5,7,5,95,Isolate1CFUFreqT0,0.0458132817875922
C11R1,5,7,50,50,Isolate1CFUFreqT0,0.477054540395141
C11R1,5,7,95,5,Isolate1CFUFreqT0,0.945452544451405
C11R1,5,8,5,95,Isolate1CFUFreqT0,0.000200054801741899
C11R1,5,8,50,50,Isolate1CFUFreqT0,0.00378740284683455
C11R1,5,8,95,5,Isolate1CFUFreqT0,0.0673679611487338
C11R1,5,9,5,95,Isolate1CFUFreqT0,0.0138131622508814
C11R1,5,9,50,50,Isolate1CFUFreqT0,0.210189269958731
C11R1,5,9,95,5,Isolate1CFUFreqT0,0.834885312230387
C11R1,6,7,5,95,Isolate1CFUFreqT0,0.0527682633812179
C11R1,6,7,50,50,Isolate1CFUFreqT0,0.514197469363356
C11R1,6,7,95,5,Isolate1CFUFreqT0,0.952630300675184
C11R1,6,8,5,95,Isolate1CFUFreqT0,0.00023210985519736
C11R1,6,8,50,50,Isolate1CFUFreqT0,0.00439173866389371
C11R1,6,8,95,5,Isolate1CFUFreqT0,0.077329998052141
C11R1,6,9,5,95,Isolate1CFUFreqT0,0.0159915755068219
C11R1,6,9,50,50,Isolate1CFUFreqT0,0.235928347058324
C11R1,6,9,95,5,Isolate1CFUFreqT0,0.854371288490478
C11R1,7,8,5,95,Isolate1CFUFreqT0,0.000219295128967662
C11R1,7,8,50,50,Isolate1CFUFreqT0,0.00415022521525674
C11R1,7,8,95,5,Isolate1CFUFreqT0,0.0733730172558533
C11R1,7,9,5,95,Isolate1CFUFreqT0,0.0151218448898868
C11R1,7,9,50,50,Isolate1CFUFreqT0,0.225842310033612
C11R1,7,9,95,5,Isolate1CFUFreqT0,0.847160317070494
C11R1,8,9,5,95,Isolate1CFUFreqT0,0.786516853932584
C11R1,8,9,50,50,Isolate1CFUFreqT0,0.985915492957746
C11R1,8,9,95,5,Isolate1CFUFreqT0,0.999248685199098
C11R2,1,2,5,95,Isolate1CFUFreqT0,0.00725865339540459
C11R2,1,2,50,50,Isolate1CFUFreqT0,0.121977368581578
C11R2,1,2,95,5,Isolate1CFUFreqT0,0.725239499569542
C11R2,1,3,5,95,Isolate1CFUFreqT0,0.0465687526774382
C11R2,1,3,50,50,Isolate1CFUFreqT0,0.481334037453793
C11R2,1,3,95,5,Isolate1CFUFreqT0,0.946330165322259
C11R2,1,4,5,95,Isolate1CFUFreqT0,0.0987619216561971
C11R2,1,4,50,50,Isolate1CFUFreqT0,0.675546911245138
C11R2,1,4,95,5,Isolate1CFUFreqT0,0.975345218466612
C11R2,1,5,5,95,Isolate1CFUFreqT0,0.0726865199645669
C11R2,1,5,50,50,Isolate1CFUFreqT0,0.598279929979452
C11R2,1,5,95,5,Isolate1CFUFreqT0,0.96586636522252
C11R2,1,6,5,95,Isolate1CFUFreqT0,0.120020945433535
C11R2,1,6,50,50,Isolate1CFUFreqT0,0.721558836300478
C11R2,1,6,95,5,Isolate1CFUFreqT0,0.980094367443232
C11R2,1,7,5,95,Isolate1CFUFreqT0,0.0382115917309588
C11R2,1,7,50,50,Isolate1CFUFreqT0,0.430155540671282
C11R2,1,7,95,5,Isolate1CFUFreqT0,0.934821284166263
C11R2,1,8,5,95,Isolate1CFUFreqT0,0.0152989825867441
C11R2,1,8,50,50,Isolate1CFUFreqT0,0.227916608973626
C11R2,1,8,95,5,Isolate1CFUFreqT0,0.848685242888207
C11R2,1,9,5,95,Isolate1CFUFreqT0,1
C11R2,1,9,50,50,Isolate1CFUFreqT0,1
C11R2,1,9,95,5,Isolate1CFUFreqT0,1
C11R2,1,10,5,95,Isolate1CFUFreqT0,0.0257383203296839
C11R2,1,10,50,50,Isolate1CFUFreqT0,0.334197708238429
C11R2,1,10,95,5,Isolate1CFUFreqT0,0.905096327227864
C11R2,1,11,5,95,Isolate1CFUFreqT0,0.0648701095348346
C11R2,1,11,50,50,Isolate1CFUFreqT0,0.568599761999207
C11R2,1,11,95,5,Isolate1CFUFreqT0,0.96160141680307
C11R2,1,12,5,95,Isolate1CFUFreqT0,0.046600917811025
C11R2,1,12,50,50,Isolate1CFUFreqT0,0.4815148376638
C11R2,1,12,95,5,Isolate1CFUFreqT0,0.946366935127002
C11R2,2,3,5,95,Isolate1CFUFreqT0,0.260128516176187
C11R2,2,3,50,50,Isolate1CFUFreqT0,0.869793964902753
C11R2,2,3,95,5,Isolate1CFUFreqT0,0.992182771529475
C11R2,2,4,5,95,Isolate1CFUFreqT0,0.440971429764022
C11R2,2,4,50,50,Isolate1CFUFreqT0,0.937451248956996
C11R2,2,4,95,5,Isolate1CFUFreqT0,0.996500597379888
C11R2,2,5,5,95,Isolate1CFUFreqT0,0.360706539238241
C11R2,2,5,50,50,Isolate1CFUFreqT0,0.91467802660906
C11R2,2,5,95,5,Isolate1CFUFreqT0,0.995114465506075
C11R2,2,6,5,95,Isolate1CFUFreqT0,0.495401382816034
C11R2,2,6,50,50,Isolate1CFUFreqT0,0.949118969999587
C11R2,2,6,95,5,Isolate1CFUFreqT0,0.997186428224255
C11R2,2,7,5,95,Isolate1CFUFreqT0,0.222385469629929
C11R2,2,7,50,50,Isolate1CFUFreqT0,0.844568439603504
C11R2,2,7,95,5,Isolate1CFUFreqT0,0.990406780915591
C11R2,2,8,5,95,Isolate1CFUFreqT0,0.100587399700541
C11R2,2,8,50,50,Isolate1CFUFreqT0,0.679989618479107
C11R2,2,8,95,5,Isolate1CFUFreqT0,0.975829690471056
C11R2,2,9,5,95,Isolate1CFUFreqT0,1
C11R2,2,9,50,50,Isolate1CFUFreqT0,1
C11R2,2,9,95,5,Isolate1CFUFreqT0,1
C11R2,2,10,5,95,Isolate1CFUFreqT0,0.159780503550679
C11R2,2,10,50,50,Isolate1CFUFreqT0,0.783227848101267
C11R2,2,10,95,5,Isolate1CFUFreqT0,0.985642422972123
C11R2,2,11,5,95,Isolate1CFUFreqT0,0.333041295509153
C11R2,2,11,50,50,Isolate1CFUFreqT0,0.904648580504239
C11R2,2,11,95,5,Isolate1CFUFreqT0,0.994483151150717
C11R2,2,12,5,95,Isolate1CFUFreqT0,0.260267921204941
C11R2,2,12,50,50,Isolate1CFUFreqT0,0.86987596039008
C11R2,2,12,95,5,Isolate1CFUFreqT0,0.992188386512561
C11R2,3,4,5,95,Isolate1CFUFreqT0,0.10561284169231
C11R2,3,4,50,50,Isolate1CFUFreqT0,0.691700256936095
C11R2,3,4,95,5,Isolate1CFUFreqT0,0.977079116391963
C11R2,3,5,5,95,Isolate1CFUFreqT0,0.0778849570870862
C11R2,3,5,50,50,Isolate1CFUFreqT0,0.616093999635974
C11R2,3,5,95,5,Isolate1CFUFreqT0,0.968245179399765
C11R2,3,6,5,95,Isolate1CFUFreqT0,0.128136891586042
C11R2,3,6,50,50,Isolate1CFUFreqT0,0.736315563813063
C11R2,3,6,95,5,Isolate1CFUFreqT0,0.981500606619674
