Assembly,ExpID,ID,Community,Isolate,Family,Genus
self_assembly,7.1.A.2,304,C7R1,2,Pseudomonadaceae,Pseudomonas
self_assembly,7.1.A.3,305,C7R1,3,Enterobacteriaceae,Enterobacter
self_assembly,7.1.B.2,308,C7R1,4,Enterobacteriaceae,Enterobacter
self_assembly,8.4.A.1,316,C8R4,1,Pseudomonadaceae,Pseudomonas
self_assembly,8.4.A.2,317,C8R4,2,Enterobacteriaceae,Enterobacter
self_assembly,8.4.B.2,446,C8R4,3,Pseudomonadaceae,Pseudomonas
self_assembly,10.2.A.1,326,C10R2,1,Pseudomonadaceae,Pseudomonas
self_assembly,10.2.A.2,327,C10R2,2,Enterobacteriaceae,Enterobacter
self_assembly,10.2.C.4,NA,C10R2,3,NA,NA
self_assembly,11.1.A.1,335,C11R1,1,Pseudomonadaceae,Pseudomonas
self_assembly,11.1.A.2,452,C11R1,2,Alcaligenaceae,Achromobacter
self_assembly,11.1.A.3,336,C11R1,3,Moraxellaceae,Acinetobacter
self_assembly,11.1.A.4,332,C11R1,4,Enterobacteriaceae,Pantoea
self_assembly,11.1.B.1,338,C11R1,5,Enterobacteriaceae,Enterobacter
self_assembly,11.1.B.3,340,C11R1,6,Enterobacteriaceae,Raoultella
self_assembly,11.1.C.1,461,C11R1,7,Enterobacteriaceae,Raoultella
self_assembly,11.1.C.2,341,C11R1,8,Alcaligenaceae,Achromobacter
self_assembly,11.1.C.3,342,C11R1,9,Comamonadaceae,Delftia
self_assembly,11.2.A.1,343,C11R2,1,Aeromonadaceae,Aeromonas
self_assembly,11.2.A.2,453,C11R2,2,Moraxellaceae,Acinetobacter
self_assembly,11.2.A.3,344,C11R2,3,Enterobacteriaceae,Enterobacter
self_assembly,11.2.A.3.2,345,C11R2,4,Enterobacteriaceae,Raoultella
self_assembly,11.2.B.1,346,C11R2,5,Enterobacteriaceae,Salmonella
self_assembly,11.2.B.2,280,C11R2,6,Enterobacteriaceae,Enterobacter
self_assembly,11.2.B.3,348,C11R2,7,Enterobacteriaceae,Enterobacter
self_assembly,11.2.B.4.1,454,C11R2,8,Moraxellaceae,Acinetobacter
self_assembly,11.2.B.4.2,455,C11R2,9,Xanthomonadaceae,Stenotrophomonas
self_assembly,11.2.B.6,350,C11R2,10,Pseudomonadaceae,Pseudomonas
self_assembly,11.2.B.7,458,C11R2,11,Enterobacteriaceae,Serratia
self_assembly,11.2.B.8.2,460,C11R2,12,Enterobacteriaceae,Enterobacter
self_assembly,11.5.A.1,352,C11R5,1,Pseudomonadaceae,Pseudomonas
self_assembly,11.5.A.1.2,353,C11R5,2,Enterobacteriaceae,Raoultella
self_assembly,11.5.B.1,355,C11R5,3,Pseudomonadaceae,Pseudomonas
self_assembly,11.5.B.2,462,C11R5,4,Pseudomonadaceae,Pseudomonas
self_assembly,11.5.B.3,356,C11R5,5,Enterobacteriaceae,Raoultella
across_community,1.4.A.1,267,AcrAss1,1,Pseudomonadaceae,Pseudomonas
across_community,1.6.A.5,438,AcrAss1,2,Enterobacteriaceae,Serratia
across_community,2.6.A.3,278,AcrAss1,3,Enterobacteriaceae,Citrobacter
across_community,2.8.A.1,288,AcrAss1,4,Enterobacteriaceae,Raoultella
across_community,8.4.A.2,317,AcrAss1,5,Enterobacteriaceae,Enterobacter
across_community,10.2.A.1,326,AcrAss1,6,Pseudomonadaceae,Pseudomonas
across_community,11.1.B.1,338,AcrAss1,7,Enterobacteriaceae,Enterobacter
across_community,11.2.B.2,280,AcrAss1,8,Enterobacteriaceae,Enterobacter
across_community,1.6.A.6,439,AcrAss2,1,Enterobacteriaceae,Citrobacter
across_community,1.7.A.1.2,441,AcrAss2,2,Pseudomonadaceae,Pseudomonas
across_community,2.8.A.3,290,AcrAss2,3,Pseudomonadaceae,Pseudomonas
across_community,4.1.A.2,295,AcrAss2,4,Enterobacteriaceae,Enterobacter
across_community,8.4.A.1,316,AcrAss2,5,Pseudomonadaceae,Pseudomonas
across_community,10.2.A.2,327,AcrAss2,6,Enterobacteriaceae,Enterobacter
across_community,11.1.B.3,340,AcrAss2,7,Enterobacteriaceae,Raoultella
across_community,1.2.A.5,364,AcrAss2,8,Enterobacteriaceae,Serratia
random_assembly,JVN1,370,RanAss1,1,Enterobacteriaceae,Citrobacter
random_assembly,JVN2,371,RanAss1,2,Enterobacteriaceae,Enterobacter
random_assembly,JVN7,376,RanAss1,3,Enterobacteriaceae,Raoultella
random_assembly,JVN8,377,RanAss1,4,Enterobacteriaceae,Enterobacter
random_assembly,JVN21,390,RanAss1,5,Enterobacteriaceae,Pantoea
random_assembly,JVN25,394,RanAss1,6,Enterobacteriaceae,Enterobacter
random_assembly,JVN30,399,RanAss1,7,Pseudomonadaceae,Pseudomonas
random_assembly,JVN46,415,RanAss1,8,Pseudomonadaceae,Pseudomonas
random_assembly,JVN3,372,RanAss2,1,Enterobacteriaceae,Citrobacter
random_assembly,JVN11,380,RanAss2,2,Enterobacteriaceae,Enterobacter
random_assembly,JVN12,381,RanAss2,3,Enterobacteriaceae,Raoultella
random_assembly,JVN14,383,RanAss2,4,Pseudomonadaceae,Pseudomonas
random_assembly,JVN23,392,RanAss2,5,Pseudomonadaceae,Pseudomonas
random_assembly,JVN28,397,RanAss2,6,Enterobacteriaceae,Enterobacter
random_assembly,JVN35,404,RanAss2,7,Pseudomonadaceae,Pseudomonas
random_assembly,JVN41,410,RanAss2,8,Enterobacteriaceae,Enterobacter
