Batch,Community,Isolate1,Isolate2,Freq1,Freq2,image_name_pair,image_name_isolate1,image_name_isolate2
B2,C11R1,8,6,95,5,B2_T8_C11R1_5-95_8_6,B2_T8_C11R1_8,B2_T8_C11R1_6
B2,C11R1,8,7,95,5,B2_T8_C11R1_5-95_8_7,B2_T8_C11R1_8,B2_T8_C11R1_7
B2,C11R1,8,9,95,5,B2_T8_C11R1_5-95_8_9,B2_T8_C11R1_8,B2_T8_C11R1_9
B2,C11R1,9,1,95,5,B2_T8_C11R1_5-95_9_1,B2_T8_C11R1_9,B2_T8_C11R1_1
B2,C11R1,9,2,95,5,B2_T8_C11R1_5-95_9_2,B2_T8_C11R1_9,B2_T8_C11R1_2
B2,C11R1,9,3,95,5,B2_T8_C11R1_5-95_9_3,B2_T8_C11R1_9,B2_T8_C11R1_3
B2,C11R1,9,4,95,5,B2_T8_C11R1_5-95_9_4,B2_T8_C11R1_9,B2_T8_C11R1_4
B2,C11R1,9,5,95,5,B2_T8_C11R1_5-95_9_5,B2_T8_C11R1_9,B2_T8_C11R1_5
B2,C11R1,9,6,95,5,B2_T8_C11R1_5-95_9_6,B2_T8_C11R1_9,B2_T8_C11R1_6
B2,C11R1,9,7,95,5,B2_T8_C11R1_5-95_9_7,B2_T8_C11R1_9,B2_T8_C11R1_7
B2,C11R1,9,8,95,5,B2_T8_C11R1_5-95_9_8,B2_T8_C11R1_9,B2_T8_C11R1_8
B2,C11R1,1,2,50,50,B2_T8_C11R1_50-50_1_2,B2_T8_C11R1_1,B2_T8_C11R1_2
B2,C11R1,1,3,50,50,B2_T8_C11R1_50-50_1_3,B2_T8_C11R1_1,B2_T8_C11R1_3
B2,C11R1,1,4,50,50,B2_T8_C11R1_50-50_1_4,B2_T8_C11R1_1,B2_T8_C11R1_4
B2,C11R1,1,5,50,50,B2_T8_C11R1_50-50_1_5,B2_T8_C11R1_1,B2_T8_C11R1_5
B2,C11R1,1,6,50,50,B2_T8_C11R1_50-50_1_6,B2_T8_C11R1_1,B2_T8_C11R1_6
B2,C11R1,1,7,50,50,B2_T8_C11R1_50-50_1_7,B2_T8_C11R1_1,B2_T8_C11R1_7
B2,C11R1,1,8,50,50,B2_T8_C11R1_50-50_1_8,B2_T8_C11R1_1,B2_T8_C11R1_8
B2,C11R1,1,9,50,50,B2_T8_C11R1_50-50_1_9,B2_T8_C11R1_1,B2_T8_C11R1_9
B2,C11R1,2,3,50,50,B2_T8_C11R1_50-50_2_3,B2_T8_C11R1_2,B2_T8_C11R1_3
B2,C11R1,2,4,50,50,B2_T8_C11R1_50-50_2_4,B2_T8_C11R1_2,B2_T8_C11R1_4
B2,C11R1,2,5,50,50,B2_T8_C11R1_50-50_2_5,B2_T8_C11R1_2,B2_T8_C11R1_5
B2,C11R1,2,6,50,50,B2_T8_C11R1_50-50_2_6,B2_T8_C11R1_2,B2_T8_C11R1_6
B2,C11R1,2,7,50,50,B2_T8_C11R1_50-50_2_7,B2_T8_C11R1_2,B2_T8_C11R1_7
B2,C11R1,2,8,50,50,B2_T8_C11R1_50-50_2_8,B2_T8_C11R1_2,B2_T8_C11R1_8
B2,C11R1,2,9,50,50,B2_T8_C11R1_50-50_2_9,B2_T8_C11R1_2,B2_T8_C11R1_9
B2,C11R1,3,4,50,50,B2_T8_C11R1_50-50_3_4,B2_T8_C11R1_3,B2_T8_C11R1_4
B2,C11R1,3,5,50,50,B2_T8_C11R1_50-50_3_5,B2_T8_C11R1_3,B2_T8_C11R1_5
B2,C11R1,3,6,50,50,B2_T8_C11R1_50-50_3_6,B2_T8_C11R1_3,B2_T8_C11R1_6
B2,C11R1,3,7,50,50,B2_T8_C11R1_50-50_3_7,B2_T8_C11R1_3,B2_T8_C11R1_7
B2,C11R1,3,8,50,50,B2_T8_C11R1_50-50_3_8,B2_T8_C11R1_3,B2_T8_C11R1_8
B2,C11R1,3,9,50,50,B2_T8_C11R1_50-50_3_9,B2_T8_C11R1_3,B2_T8_C11R1_9
B2,C11R1,4,5,50,50,B2_T8_C11R1_50-50_4_5,B2_T8_C11R1_4,B2_T8_C11R1_5
B2,C11R1,4,6,50,50,B2_T8_C11R1_50-50_4_6,B2_T8_C11R1_4,B2_T8_C11R1_6
B2,C11R1,4,7,50,50,B2_T8_C11R1_50-50_4_7,B2_T8_C11R1_4,B2_T8_C11R1_7
B2,C11R1,4,8,50,50,B2_T8_C11R1_50-50_4_8,B2_T8_C11R1_4,B2_T8_C11R1_8
B2,C11R1,4,9,50,50,B2_T8_C11R1_50-50_4_9,B2_T8_C11R1_4,B2_T8_C11R1_9
B2,C11R1,5,6,50,50,B2_T8_C11R1_50-50_5_6,B2_T8_C11R1_5,B2_T8_C11R1_6
B2,C11R1,5,7,50,50,B2_T8_C11R1_50-50_5_7,B2_T8_C11R1_5,B2_T8_C11R1_7
B2,C11R1,5,8,50,50,B2_T8_C11R1_50-50_5_8,B2_T8_C11R1_5,B2_T8_C11R1_8
B2,C11R1,5,9,50,50,B2_T8_C11R1_50-50_5_9,B2_T8_C11R1_5,B2_T8_C11R1_9
B2,C11R1,6,7,50,50,B2_T8_C11R1_50-50_6_7,B2_T8_C11R1_6,B2_T8_C11R1_7
B2,C11R1,6,8,50,50,B2_T8_C11R1_50-50_6_8,B2_T8_C11R1_6,B2_T8_C11R1_8
B2,C11R1,6,9,50,50,B2_T8_C11R1_50-50_6_9,B2_T8_C11R1_6,B2_T8_C11R1_9
B2,C11R1,7,8,50,50,B2_T8_C11R1_50-50_7_8,B2_T8_C11R1_7,B2_T8_C11R1_8
B2,C11R1,7,9,50,50,B2_T8_C11R1_50-50_7_9,B2_T8_C11R1_7,B2_T8_C11R1_9
B2,C11R1,8,9,50,50,B2_T8_C11R1_50-50_8_9,B2_T8_C11R1_8,B2_T8_C11R1_9
B2,C2R6,1,2,95,5,B2_T8_C2R6_5-95_1_2,B2_T8_C2R6_1,B2_T8_C2R6_2
B2,C2R6,1,3,95,5,B2_T8_C2R6_5-95_1_3,B2_T8_C2R6_1,B2_T8_C2R6_3
B2,C2R6,1,4,95,5,B2_T8_C2R6_5-95_1_4,B2_T8_C2R6_1,B2_T8_C2R6_4
