Batch,Community,Isolate1,Isolate2,Freq1,Freq2,image_name_pair,image_name_isolate1,image_name_isolate2
D,C1R6,5,2,95,5,D_T8_C1R6_5-95_5_2,D_T8_C1R6_5,D_T8_C1R6_2
D,C1R6,5,3,95,5,D_T8_C1R6_5-95_5_3,D_T8_C1R6_5,D_T0_C1R6_3
D,C1R6,5,4,95,5,D_T8_C1R6_5-95_5_4,D_T8_C1R6_5,D_T8_C1R6_4
D,C1R6,1,2,50,50,D_T8_C1R6_50-50_1_2,D_T8_C1R6_1,D_T8_C1R6_2
D,C1R6,1,3,50,50,D_T8_C1R6_50-50_1_3,D_T8_C1R6_1,D_T0_C1R6_3
D,C1R6,1,4,50,50,D_T8_C1R6_50-50_1_4,D_T8_C1R6_1,D_T8_C1R6_4
D,C1R6,1,5,50,50,D_T8_C1R6_50-50_1_5,D_T8_C1R6_1,D_T8_C1R6_5
D,C1R6,2,3,50,50,D_T8_C1R6_50-50_2_3,D_T8_C1R6_2,D_T0_C1R6_3
D,C1R6,2,4,50,50,D_T8_C1R6_50-50_2_4,D_T8_C1R6_2,D_T8_C1R6_4
D,C1R6,2,5,50,50,D_T8_C1R6_50-50_2_5,D_T8_C1R6_2,D_T8_C1R6_5
D,C1R6,3,4,50,50,D_T8_C1R6_50-50_3_4,D_T0_C1R6_3,D_T8_C1R6_4
D,C1R6,3,5,50,50,D_T8_C1R6_50-50_3_5,D_T0_C1R6_3,D_T8_C1R6_5
D,C1R6,4,5,50,50,D_T8_C1R6_50-50_4_5,D_T8_C1R6_4,D_T8_C1R6_5
D,C1R7,1,2,95,5,D_T8_C1R7_5-95_1_2,D_T8_C1R7_1,D_T8_C1R7_2
D,C1R7,1,3,95,5,D_T8_C1R7_5-95_1_3,D_T8_C1R7_1,D_T8_C1R7_3
D,C1R7,1,4,95,5,D_T8_C1R7_5-95_1_4,D_T8_C1R7_1,D_T8_C1R7_4
D,C1R7,1,5,95,5,D_T8_C1R7_5-95_1_5,D_T8_C1R7_1,D_T8_C1R7_5
D,C1R7,1,6,95,5,D_T8_C1R7_5-95_1_6,D_T8_C1R7_1,D_T8_C1R7_6
D,C1R7,1,7,95,5,D_T8_C1R7_5-95_1_7,D_T8_C1R7_1,D_T8_C1R7_7
D,C1R7,2,1,95,5,D_T8_C1R7_5-95_2_1,D_T8_C1R7_2,D_T8_C1R7_1
D,C1R7,2,3,95,5,D_T8_C1R7_5-95_2_3,D_T8_C1R7_2,D_T8_C1R7_3
D,C1R7,2,4,95,5,D_T8_C1R7_5-95_2_4,D_T8_C1R7_2,D_T8_C1R7_4
D,C1R7,2,5,95,5,D_T8_C1R7_5-95_2_5,D_T8_C1R7_2,D_T8_C1R7_5
D,C1R7,2,6,95,5,D_T8_C1R7_5-95_2_6,D_T8_C1R7_2,D_T8_C1R7_6
D,C1R7,2,7,95,5,D_T8_C1R7_5-95_2_7,D_T8_C1R7_2,D_T8_C1R7_7
D,C1R7,3,1,95,5,D_T8_C1R7_5-95_3_1,D_T8_C1R7_3,D_T8_C1R7_1
D,C1R7,3,2,95,5,D_T8_C1R7_5-95_3_2,D_T8_C1R7_3,D_T8_C1R7_2
D,C1R7,3,4,95,5,D_T8_C1R7_5-95_3_4,D_T8_C1R7_3,D_T8_C1R7_4
D,C1R7,3,5,95,5,D_T8_C1R7_5-95_3_5,D_T8_C1R7_3,D_T8_C1R7_5
D,C1R7,3,6,95,5,D_T8_C1R7_5-95_3_6,D_T8_C1R7_3,D_T8_C1R7_6
D,C1R7,3,7,95,5,D_T8_C1R7_5-95_3_7,D_T8_C1R7_3,D_T8_C1R7_7
D,C1R7,4,1,95,5,D_T8_C1R7_5-95_4_1,D_T8_C1R7_4,D_T8_C1R7_1
D,C1R7,4,2,95,5,D_T8_C1R7_5-95_4_2,D_T8_C1R7_4,D_T8_C1R7_2
D,C1R7,4,3,95,5,D_T8_C1R7_5-95_4_3,D_T8_C1R7_4,D_T8_C1R7_3
D,C1R7,4,5,95,5,D_T8_C1R7_5-95_4_5,D_T8_C1R7_4,D_T8_C1R7_5
D,C1R7,4,6,95,5,D_T8_C1R7_5-95_4_6,D_T8_C1R7_4,D_T8_C1R7_6
D,C1R7,4,7,95,5,D_T8_C1R7_5-95_4_7,D_T8_C1R7_4,D_T8_C1R7_7
D,C1R7,5,1,95,5,D_T8_C1R7_5-95_5_1,D_T8_C1R7_5,D_T8_C1R7_1
D,C1R7,5,2,95,5,D_T8_C1R7_5-95_5_2,D_T8_C1R7_5,D_T8_C1R7_2
D,C1R7,5,3,95,5,D_T8_C1R7_5-95_5_3,D_T8_C1R7_5,D_T8_C1R7_3
D,C1R7,5,4,95,5,D_T8_C1R7_5-95_5_4,D_T8_C1R7_5,D_T8_C1R7_4
D,C1R7,5,6,95,5,D_T8_C1R7_5-95_5_6,D_T8_C1R7_5,D_T8_C1R7_6
D,C1R7,5,7,95,5,D_T8_C1R7_5-95_5_7,D_T8_C1R7_5,D_T8_C1R7_7
D,C1R7,6,1,95,5,D_T8_C1R7_5-95_6_1,D_T8_C1R7_6,D_T8_C1R7_1
D,C1R7,6,2,95,5,D_T8_C1R7_5-95_6_2,D_T8_C1R7_6,D_T8_C1R7_2
D,C1R7,6,3,95,5,D_T8_C1R7_5-95_6_3,D_T8_C1R7_6,D_T8_C1R7_3
D,C1R7,6,4,95,5,D_T8_C1R7_5-95_6_4,D_T8_C1R7_6,D_T8_C1R7_4
D,C1R7,6,5,95,5,D_T8_C1R7_5-95_6_5,D_T8_C1R7_6,D_T8_C1R7_5
D,C1R7,6,7,95,5,D_T8_C1R7_5-95_6_7,D_T8_C1R7_6,D_T8_C1R7_7
D,C1R7,7,1,95,5,D_T8_C1R7_5-95_7_1,D_T8_C1R7_7,D_T8_C1R7_1
D,C1R7,7,2,95,5,D_T8_C1R7_5-95_7_2,D_T8_C1R7_7,D_T8_C1R7_2
D,C1R7,7,3,95,5,D_T8_C1R7_5-95_7_3,D_T8_C1R7_7,D_T8_C1R7_3
D,C1R7,7,4,95,5,D_T8_C1R7_5-95_7_4,D_T8_C1R7_7,D_T8_C1R7_4
D,C1R7,7,5,95,5,D_T8_C1R7_5-95_7_5,D_T8_C1R7_7,D_T8_C1R7_5
D,C1R7,7,6,95,5,D_T8_C1R7_5-95_7_6,D_T8_C1R7_7,D_T8_C1R7_6
D,C1R7,1,2,50,50,D_T8_C1R7_50-50_1_2,D_T8_C1R7_1,D_T8_C1R7_2
D,C1R7,1,3,50,50,D_T8_C1R7_50-50_1_3,D_T8_C1R7_1,D_T8_C1R7_3
D,C1R7,1,4,50,50,D_T8_C1R7_50-50_1_4,D_T8_C1R7_1,D_T8_C1R7_4
D,C1R7,1,5,50,50,D_T8_C1R7_50-50_1_5,D_T8_C1R7_1,D_T8_C1R7_5
