"Plate","Well","Wavelength","Abs","Transfer","Layout","MixPlate","MixIsolate","Isolate1","Isolate2","Community","Isolate1Freq","Isolate2Freq"
"T1_13A_P1","G11",405,0.304,"1","13A","1",TRUE,"7","11","C11R2","50","50"
"T1_13A_P1","G12",405,0.242,"1","13A","1",TRUE,"7","12","C11R2","50","50"
"T1_13A_P1","H01",405,0.393,"1","13A","1",TRUE,"8","1","C11R2","50","50"
"T1_13A_P1","H02",405,0.008,"1","13A","1",TRUE,"8","2","C11R2","50","50"
"T1_13A_P1","H03",405,0.166,"1","13A","1",TRUE,"8","3","C11R2","50","50"
"T1_13A_P1","H04",405,0.295,"1","13A","1",TRUE,"8","4","C11R2","50","50"
"T1_13A_P1","H05",405,0.214,"1","13A","1",TRUE,"8","5","C11R2","50","50"
"T1_13A_P1","H06",405,0.301,"1","13A","1",TRUE,"8","6","C11R2","50","50"
"T1_13A_P1","H07",405,0.153,"1","13A","1",TRUE,"8","7","C11R2","50","50"
"T1_13A_P1","H08",405,0.007,"1","13A","1",TRUE,"8","8","C11R2","50","50"
"T1_13A_P1","H09",405,0.01,"1","13A","1",TRUE,"8","9","C11R2","50","50"
"T1_13A_P1","H10",405,0.088,"1","13A","1",TRUE,"8","10","C11R2","50","50"
"T1_13A_P1","H11",405,0.3,"1","13A","1",TRUE,"8","11","C11R2","50","50"
"T1_13A_P1","H12",405,0.185,"1","13A","1",TRUE,"8","12","C11R2","50","50"
"T1_13A_P1","A01",450,0.429,"1","13A","1",TRUE,"1","1","C11R2","50","50"
"T1_13A_P1","A02",450,0.323,"1","13A","1",TRUE,"1","2","C11R2","50","50"
"T1_13A_P1","A03",450,0.312,"1","13A","1",TRUE,"1","3","C11R2","50","50"
"T1_13A_P1","A04",450,0.247,"1","13A","1",TRUE,"1","4","C11R2","50","50"
"T1_13A_P1","A05",450,0.361,"1","13A","1",TRUE,"1","5","C11R2","50","50"
"T1_13A_P1","A06",450,0.424,"1","13A","1",TRUE,"1","6","C11R2","50","50"
"T1_13A_P1","A07",450,0.39,"1","13A","1",TRUE,"1","7","C11R2","50","50"
"T1_13A_P1","A08",450,0.308,"1","13A","1",TRUE,"1","8","C11R2","50","50"
"T1_13A_P1","A09",450,0.379,"1","13A","1",TRUE,"1","9","C11R2","50","50"
"T1_13A_P1","A10",450,0.49,"1","13A","1",TRUE,"1","10","C11R2","50","50"
"T1_13A_P1","A11",450,0.187,"1","13A","1",TRUE,"1","11","C11R2","50","50"
"T1_13A_P1","A12",450,0.285,"1","13A","1",TRUE,"1","12","C11R2","50","50"
"T1_13A_P1","B01",450,0.326,"1","13A","1",TRUE,"2","1","C11R2","50","50"
"T1_13A_P1","B02",450,0.01,"1","13A","1",TRUE,"2","2","C11R2","50","50"
"T1_13A_P1","B03",450,0.167,"1","13A","1",TRUE,"2","3","C11R2","50","50"
"T1_13A_P1","B04",450,0.264,"1","13A","1",TRUE,"2","4","C11R2","50","50"
"T1_13A_P1","B05",450,0.186,"1","13A","1",TRUE,"2","5","C11R2","50","50"
"T1_13A_P1","B06",450,0.264,"1","13A","1",TRUE,"2","6","C11R2","50","50"
"T1_13A_P1","B07",450,0.167,"1","13A","1",TRUE,"2","7","C11R2","50","50"
"T1_13A_P1","B08",450,0.01,"1","13A","1",TRUE,"2","8","C11R2","50","50"
"T1_13A_P1","B09",450,0.011,"1","13A","1",TRUE,"2","9","C11R2","50","50"
"T1_13A_P1","B10",450,0.053,"1","13A","1",TRUE,"2","10","C11R2","50","50"
"T1_13A_P1","B11",450,0.258,"1","13A","1",TRUE,"2","11","C11R2","50","50"
"T1_13A_P1","B12",450,0.167,"1","13A","1",TRUE,"2","12","C11R2","50","50"
"T1_13A_P1","C01",450,0.359,"1","13A","1",TRUE,"3","1","C11R2","50","50"
"T1_13A_P1","C02",450,0.17,"1","13A","1",TRUE,"3","2","C11R2","50","50"
"T1_13A_P1","C03",450,0.224,"1","13A","1",TRUE,"3","3","C11R2","50","50"
"T1_13A_P1","C04",450,0.236,"1","13A","1",TRUE,"3","4","C11R2","50","50"
"T1_13A_P1","C05",450,0.217,"1","13A","1",TRUE,"3","5","C11R2","50","50"
"T1_13A_P1","C06",450,0.228,"1","13A","1",TRUE,"3","6","C11R2","50","50"
