Assembly,Family,ID,Abundance,Transfer,Time,Community
self_assembly,F0,S276,1,0,0,W0
self_assembly,F0,S276,1,0,0,W12
self_assembly,F0,S277,1,0,0,W17
self_assembly,F0,S278,1,0,0,W8
self_assembly,F0,S279,1,0,0,W1
self_assembly,F0,S279,1,0,0,W18
self_assembly,F0,S279,1,0,0,W19
self_assembly,F0,S280,1,0,0,W10
self_assembly,F0,S281,1,0,0,W2
self_assembly,F0,S281,1,0,0,W6
self_assembly,F0,S281,1,0,0,W16
self_assembly,F0,S283,1,0,0,W6
self_assembly,F0,S284,1,0,0,W2
self_assembly,F0,S285,1,0,0,W15
self_assembly,F0,S286,1,0,0,W2
self_assembly,F0,S287,1,0,0,W14
self_assembly,F0,S289,1,0,0,W2
self_assembly,F0,S290,1,0,0,W7
self_assembly,F0,S290,1,0,0,W8
self_assembly,F0,S292,1,0,0,W3
self_assembly,F0,S292,1,0,0,W18
self_assembly,F0,S293,1,0,0,W5
self_assembly,F0,S293,1,0,0,W10
self_assembly,F0,S294,1,0,0,W2
self_assembly,F0,S294,1,0,0,W18
self_assembly,F0,S295,1,0,0,W10
self_assembly,F0,S295,1,0,0,W14
self_assembly,F0,S295,1,0,0,W15
self_assembly,F0,S295,1,0,0,W19
self_assembly,F0,S298,1,0,0,W0
self_assembly,F0,S298,1,0,0,W7
self_assembly,F0,S299,1,0,0,W6
self_assembly,F0,S299,1,0,0,W12
self_assembly,F0,S301,1,0,0,W12
self_assembly,F0,S302,1,0,0,W15
self_assembly,F0,S303,1,0,0,W1
self_assembly,F0,S304,1,0,0,W4
self_assembly,F0,S304,1,0,0,W13
self_assembly,F0,S305,1,0,0,W16
self_assembly,F0,S305,1,0,0,W17
self_assembly,F0,S305,1,0,0,W18
self_assembly,F0,S306,1,0,0,W0
self_assembly,F0,S307,1,0,0,W13
self_assembly,F0,S308,1,0,0,W5
self_assembly,F0,S309,1,0,0,W13
self_assembly,F0,S311,1,0,0,W13
