ExpID,ID,Community,Isolate,SID,K,T_mid,R,CS,maxOD,R16,R24,R48,RUpper,RMid,RLow,R16_water,R24_water,R48_water,RUpper_water,RMid_water,RLow_water,Family,SangerID
11.2.B.3,348,C11R2,7,348_2-Ketogluconate,0.407875228589221,14.3512295574733,0.210286784652009,2-Ketogluconate,0.463,0.114553590062153,0.0789941025554836,0.0461235274607793,0.103202418206583,0.118510575948029,0.119487105195404,0.00152583212882979,0.00294864402577486,0.00240069536043924,0.00267098134344823,0.00333932490089424,0.00189247787270109,Enterobacteriaceae,348
11.2.B.3,348,C11R2,7,348_2-Oxoglutarate,0.0172196900861829,20.778676266815,0.123375124026353,2-Oxoglutarate,0.016,0.00845507015123173,0.00891770582793632,0.00673395426497476,0.00805948449221703,0.00900546914189875,0.00595246008725376,0.00152583212882979,0.00294860982590911,0.00240066753532322,0.00266484179048241,0.00246002060806204,0.001576749589862,Enterobacteriaceae,348
11.2.B.3,348,C11R2,7,348_Acetate,0.259086963275538,37.1894155022525,0.160611435698574,Acetate,0.23,0.00884958213966352,0.0196250515012659,0.0393693141194885,0.0398524086757922,0.0393399978813597,0.0321768232949938,0.00152583212882979,0.00294864402577486,0.00240065362300709,0.00271927941305015,0.00243483284440084,0.00304421564084118,Enterobacteriaceae,348
11.2.B.3,348,C11R2,7,348_Citrate,0.426289505566973,17.9238121973535,0.132905886227183,Citrate,0.438,0.122494843739776,0.0888373401727072,0.0527379334137992,0.101218316853051,0.114050338496777,0.12991502636375,0.00152583212882979,0.00294860982590911,0.0024006814478006,0.00346499532459528,0.00274962276470245,0.00322398090294484,Enterobacteriaceae,348
11.2.B.3,348,C11R2,7,348_D-Fructose,0.53059260591942,15.1817496347407,0.166369446042582,D-Fructose,0.561,0.138115299707377,0.0961458004868999,0.0553410011742197,0.0948168334825208,0.148014558400816,0.171560878689389,0.00152585896655676,0.00294867822643397,0.00240070927323914,0.00288719440751183,0.00322404152460073,0.00197134903614548,Enterobacteriaceae,348
11.2.B.3,348,C11R2,7,348_D-Galactose,0.477646974103394,12.0346253437515,0.308505051710183,D-Galactose,0.52,0.144982834582778,0.103759948260011,0.0555126270682399,0.119893421878523,0.144982834582778,0.173003121267303,0.00152585896655676,0.00294871242788647,0.00240070927323914,0.00346499532459528,0.00152585896655676,0.00189247787270109,Enterobacteriaceae,348
11.2.B.3,348,C11R2,7,348_D-Glucose,0.473932322840896,10.3273781546282,0.438872048314247,D-Glucose,0.513,0.151390574462711,0.105762003966706,0.0552113488351332,0.131020011327546,0.19872072568344,0.200974098908573,0.00152585896655676,0.00294867822643397,0.00240070927323914,0.00252657525251339,0.00205708018791184,0.00236604897544301,Enterobacteriaceae,348
11.2.B.3,348,C11R2,7,348_D-Lactate,0.512543572069602,29.7524134953956,0.120923831650879,D-Lactate,0.501,0.0669991265205898,0.0717198889961216,0.0531655559932299,0.0655778287002343,0.0703209969716769,0.0729255716849614,0.00152583212882979,0.00294860982590911,0.0024006814478006,0.00304421564084118,0.00277152029359111,0.00329980065380223,Enterobacteriaceae,348
11.2.B.3,348,C11R2,7,348_D-Ribose,0.45428841311519,17.2365264526288,0.209638475632962,D-Ribose,0.492,0.115480773932023,0.0942711698885375,0.0533554650402446,0.0981297998266488,0.114320614849481,0.113759635900998,0.00152585896655676,0.00294867822643397,0.00240069536043924,0.00207720702124099,0.00274971095582327,0.00175215983689721,Enterobacteriaceae,348
11.2.B.3,348,C11R2,7,348_ddH20,0.00443353685430769,20.0616216679878,0.125584722702614,ddH20,0.005,0.00152583212882979,0.00294860982590911,0.0024006397108522,0.00227985395456961,0.001576749589862,0.00315504748634775,0.00152583212882979,0.00294860982590911,0.0024006397108522,0.00227985395456961,0.001576749589862,0.00315504748634775,Enterobacteriaceae,348
