Community,Isolate1,Isolate2,Isolate1InitialODFreq,Isolate2InitialODFreq,Time,Isolate1MeasuredFreq,ErrorIsolate1MeasuredFreq,RawDataType,Contamination,Fermenter1,Fermenter2,Family1,Family2,Genus1,Genus2,PairFermenter,PairFamily,SeqDifference,SeqLength,PairTreeDistance
C1R6,2,3,95,5,T0,0.945878093817368,0.0148992718051753,ODtoCFU,FALSE,TRUE,FALSE,Enterobacteriaceae,Pseudomonadaceae,Enterobacter,Pseudomonas,FN,EP,82,636,0.353636669882602
C1R6,2,4,5,95,T0,0.0384812432401661,0.0106324083064753,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Serratia,FF,EE,22,662,0.174473825037847
C1R6,2,4,50,50,T0,0.431948881789136,0.0705090014020037,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Serratia,FF,EE,22,662,0.174473825037847
C1R6,2,4,95,5,T0,0.935265419063569,0.0173978670814924,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Serratia,FF,EE,22,662,0.174473825037847
C1R6,2,5,5,95,T0,0.0642592754510214,0.0179173010249529,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Citrobacter,FF,EE,12,661,0.0798182729867141
C1R6,2,5,50,50,T0,0.566117187901196,0.0731913945273048,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Citrobacter,FF,EE,12,661,0.0798182729867141
C1R6,2,5,95,5,T0,0.961226222436383,0.011105674984934,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Citrobacter,FF,EE,12,661,0.0798182729867141
C1R6,3,4,5,95,T0,0.0416952417427857,0.0115094068281335,ODtoCFU,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Serratia,FN,EP,104,809,0.365913887754919
C1R6,3,4,50,50,T0,0.452558182395282,0.0713633438161621,ODtoCFU,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Serratia,FN,EP,104,809,0.365913887754919
C1R6,3,4,95,5,T0,0.940144436098054,0.016209212195815,ODtoCFU,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Serratia,FN,EP,104,809,0.365913887754919
C1R6,3,5,5,95,T0,0.0694707280827227,0.0193053928983833,ODtoCFU,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Citrobacter,FN,EP,94,754,0.372257433829253
C1R6,3,5,50,50,T0,0.586518377114717,0.0724243475071767,ODtoCFU,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Citrobacter,FN,EP,94,754,0.372257433829253
C1R6,3,5,95,5,T0,0.964223432688084,0.0103020369906822,ODtoCFU,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Citrobacter,FN,EP,94,754,0.372257433829253
C1R6,4,5,5,95,T0,0.0828295693317706,0.0224146231833759,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Serratia,Citrobacter,FF,EE,29,785,0.193094588984498
C1R6,4,5,50,50,T0,0.631796315851226,0.0686374614770196,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Serratia,Citrobacter,FF,EE,29,785,0.193094588984498
C1R6,4,5,95,5,T0,0.970239754801829,0.00851945012622132,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Serratia,Citrobacter,FF,EE,29,785,0.193094588984498
C1R7,1,2,5,95,T0,0.135190459238163,0.0364120725186082,ODtoCFU,FALSE,TRUE,FALSE,Enterobacteriaceae,Pseudomonadaceae,Enterobacter,Pseudomonas,FN,EP,90,733,0.347346893173627
C1R7,1,2,50,50,T0,0.748120690549018,0.0586871532360592,ODtoCFU,FALSE,TRUE,FALSE,Enterobacteriaceae,Pseudomonadaceae,Enterobacter,Pseudomonas,FN,EP,90,733,0.347346893173627
C1R7,1,2,95,5,T0,0.982588392978734,0.00532830859702822,ODtoCFU,FALSE,TRUE,FALSE,Enterobacteriaceae,Pseudomonadaceae,Enterobacter,Pseudomonas,FN,EP,90,733,0.347346893173627
C1R7,1,3,5,95,T0,0.150537634408602,0.0403633906885191,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter,FF,EE,12,664,0.121338040971487
C1R7,1,3,50,50,T0,0.771014492753623,0.0557274215940772,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter,FF,EE,12,664,0.121338040971487
C1R7,1,3,95,5,T0,0.984609390220144,0.00478319638392064,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter,FF,EE,12,664,0.121338040971487
C1R7,1,4,5,95,T0,0.0388048956083513,0.0104516096691707,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Serratia,FF,EE,22,734,0.172653267401619
C1R7,1,4,50,50,T0,0.434087826381824,0.0688353865119523,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Serratia,FF,EE,22,734,0.172653267401619
C1R7,1,4,95,5,T0,0.935790891165296,0.0168368393567547,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Serratia,FF,EE,22,734,0.172653267401619
C1R7,1,5,5,95,T0,0.108603667136812,0.0291165031379801,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter,FF,EE,2,527,0.0646133620130831
C1R7,1,5,50,50,T0,0.698329355608592,0.0633603010609776,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter,FF,EE,2,527,0.0646133620130831
C1R7,1,5,95,5,T0,0.977769179359105,0.0065375604966531,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter,FF,EE,2,527,0.0646133620130831
C1R7,1,6,5,95,T0,0.095352144300576,0.0261973289786194,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Citrobacter,FF,EE,7,545,0.097516008184034
C1R7,1,6,50,50,T0,0.66696057090899,0.067459451452331,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Citrobacter,FF,EE,7,545,0.097516008184034
C1R7,1,6,95,5,T0,0.974392003406772,0.0075780297564725,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Citrobacter,FF,EE,7,545,0.097516008184034
C1R7,1,7,5,95,T0,0.0168136747491137,0.00451239767929472,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Raoultella,FF,EE,8,530,0.135285951583133
C1R7,1,7,50,50,T0,0.245239139839049,0.0505252010886408,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Raoultella,FF,EE,8,530,0.135285951583133
C1R7,1,7,95,5,T0,0.860598742132662,0.0327473600851573,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Raoultella,FF,EE,8,530,0.135285951583133
C1R7,2,3,5,95,T0,0.0563057907988098,0.0181370759007342,ODtoCFU,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter,FN,EP,94,793,0.371973485029469
C1R7,2,3,50,50,T0,0.531317494600432,0.0849993837145137,ODtoCFU,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter,FN,EP,94,793,0.371973485029469
C1R7,2,3,95,5,T0,0.955632794929462,0.0144722492709681,ODtoCFU,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter,FN,EP,94,793,0.371973485029469
C1R7,2,4,5,95,T0,0.0134101135845541,0.00408636610774694,ODtoCFU,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Serratia,FN,EP,108,886,0.360268698222228
C1R7,2,4,50,50,T0,0.205248786407767,0.0503825280890736,ODtoCFU,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Serratia,FN,EP,108,886,0.360268698222228
