Community,Replicate,Metric,HierarchyScore
W0,78,h1,1
W0,78,h2,0.73046388577045
W0,79,h1,0.7
W0,79,h2,0.7317008229121055
W0,80,h1,0.7
W0,80,h2,0.6029952457682137
W0,81,h1,0.7
W0,81,h2,0.5003449727941908
W0,82,h1,0.9
W0,82,h2,0.5970047542317862
W0,83,h1,0.6
W0,83,h2,0.6637972191037833
W0,84,h1,0.7
W0,84,h2,0.6699639459157818
W0,85,h1,0.6
W0,85,h2,0.6328131765966636
W0,86,h1,1
W0,86,h2,0.5301823377454704
W0,87,h1,0.7
W0,87,h2,0.693923532773817
W0,88,h1,0.7
W0,88,h2,0.6626505415479433
W0,89,h1,0.7
W0,89,h2,0.7120045853264912
W0,90,h1,0.7
W0,90,h2,0.6959621746771218
W0,91,h1,0.7
W0,91,h2,0.6321598209608891
W0,92,h1,0.3
W0,92,h2,0.6332699085641221
W0,93,h1,0.7
W0,93,h2,0.6626505415479433
W0,94,h1,0.5
W0,94,h2,0.6631438634680088
W0,95,h1,0.7
W0,95,h2,0.6509275042464316
W0,96,h1,1
W0,96,h2,0.6637972191037833
W0,97,h1,0.7
W0,97,h2,0.6274052152330251
W0,98,h1,0.5
W0,98,h2,0.5975946850983497
W0,99,h1,0.7
W0,99,h2,0.5966065508647569
W0,100,h1,1
W0,100,h2,0.6927500204013728
W0,101,h1,0.7
W0,101,h2,0.5969451742982652
W0,102,h1,0.7
W0,102,h2,0.5975985299340397
W0,103,h1,0.8
W0,103,h2,0.5739800710345051
W0,104,h1,0.8
W0,104,h2,0.6558572939167746
W0,105,h1,1
W0,105,h2,0.6024648948351715
W0,106,h1,0.5
W0,106,h2,0.6458580753964943
W0,107,h1,0.9
W0,107,h2,0.6922820429044497
W0,108,h1,0.7
W0,108,h2,0.7001156040089579
W0,109,h1,0.5
W0,109,h2,0.598593013528315
W0,110,h1,0.8
W0,110,h2,0.633210328630601
W0,111,h1,0.3
W0,111,h2,0.5722229771561799
W0,112,h1,0.5
W0,112,h2,0.7356752234657725
W0,113,h1,0.6
W0,113,h2,0.6758018044302746
W0,114,h1,0.6
W0,114,h2,0.6639202238065156
W0,115,h1,0.9
W0,115,h2,0.6395429994586211
W0,116,h1,0.7
W0,116,h2,0.670590466734952
W0,117,h1,0.8
W0,117,h2,0.6706500466684732
W0,118,h1,0.9
W0,118,h2,0.6630550942756551
W0,119,h1,0.7
W0,119,h2,0.5612128754239639
W0,120,h1,0.7
W0,120,h2,0.6978383533939629
W0,121,h1,0.9
W0,121,h2,0.6634522463095925
W0,122,h1,0.5
W0,122,h2,0.6029254716383201
W0,123,h1,0.7
W0,123,h2,0.6642613517650163
W0,124,h1,0.7
W0,124,h2,0.5987086175372729
W0,125,h1,0.8
W0,125,h2,0.5593532622988282
W0,126,h1,0.8
W0,126,h2,0.5012369371416555
W0,127,h1,0.9
W0,127,h2,0.6701820691715501
W0,128,h1,0.8
W0,128,h2,0.5968490044121372
W0,129,h1,0.6
W0,129,h2,0.6035788272740946
W0,130,h1,0.7
W0,130,h2,0.5917997658971462
W0,131,h1,0.8
W0,131,h2,0.6639202238065156
W0,132,h1,1
W0,132,h2,0.5656087583031802
W0,133,h1,0.9
W0,133,h2,0.6406467377011718
W0,134,h1,0.7
W0,134,h2,0.7909906604417225
W0,135,h1,0.8
W0,135,h2,0.6937371033018735
W0,136,h1,0.8
W0,136,h2,0.6995954472722882
W0,137,h1,0.5
W0,137,h2,0.633210328630601
W0,138,h1,0.7
W0,138,h2,0.6040989840107643
W0,139,h1,0.5
W0,139,h2,0.6266035104713759
W0,140,h1,0.6
W0,140,h2,0.6324047790332616
W0,141,h1,0.7
W0,141,h2,0.6691315615018382
W0,142,h1,0.8
W0,142,h2,0.7370351653101603
W0,143,h1,0.7
W0,143,h2,0.5372532885659287
W0,144,h1,1
W0,144,h2,0.5966002015040744
W0,145,h1,0.6
W0,145,h2,0.5975351051648286
W0,146,h1,0.9
W0,146,h2,0.6990016715700347
W0,147,h1,0.9
W0,147,h2,0.6382958681205931
W0,148,h1,0.6
W0,148,h2,0.5683641806114708
W0,149,h1,0.8
W0,149,h2,0.5614553289713442
W0,150,h1,0.5
W0,150,h2,0.638608095797867
W0,151,h1,0.7
W0,151,h2,0.6349748232027007
W0,152,h1,0.5
W0,152,h2,0.5661465099299969
W0,153,h1,0.9
W0,153,h2,0.736599932930154
W0,154,h1,0.6
W0,154,h2,0.5956120672704817
W0,155,h1,0.7
W0,155,h2,0.6996588720414993
W0,156,h1,0.7
W0,156,h2,0.7356752234657725
W0,157,h1,0.9
W0,157,h2,0.6678350444266615
W0,158,h1,0.8
W0,158,h2,0.5962654229062562
W0,159,h1,0.9
W0,159,h2,0.7418151154611666
W0,160,h1,0.7
W0,160,h2,0.6642017718314952
W0,161,h1,0.8
W0,161,h2,0.6760404131419647
W0,162,h1,0.7
W0,162,h2,0.6690085567991058
W0,163,h1,0.7
W0,163,h2,0.7007689596447324
W0,164,h1,0.7
W0,164,h2,0.6951932150323894
W0,165,h1,0.7
W0,165,h2,0.638608095797867
W0,166,h1,0.4
W0,166,h2,0.6267191144803337
W0,167,h1,1
W0,167,h2,0.6644505747395579
W0,168,h1,0.5
W0,168,h2,0.7421869230719617
W0,169,h1,1
W0,169,h2,0.6566068194386772
W0,170,h1,0.6
W0,170,h2,0.6326799776975588
W0,171,h1,0.8
W0,171,h2,0.6012913824627272
W0,172,h1,0.7
W0,172,h2,0.6316358193885292
W0,173,h1,0.6
W0,173,h2,0.5608717474654633
W0,174,h1,0.7
W0,174,h2,0.6637337943345721
W0,175,h1,0.7
W0,175,h2,0.6675534964016819
W0,176,h1,0.6
W0,176,h2,0.5601856467127718
W0,177,h1,0.7
W0,177,h2,0.6636181903256143
W0,178,h1,0.9
W0,178,h2,0.7364515838042793
W0,179,h1,0.9
W0,179,h2,0.6632136375979024
W0,180,h1,0.8
W0,180,h2,0.6284631235965115
W0,181,h1,0.7
W0,181,h2,0.6035788272740946
W0,182,h1,0.9
W0,182,h2,0.6705270419657409
W0,183,h1,0.6
W0,183,h2,0.6630282594590509
W0,184,h1,0.8
W0,184,h2,0.6318148481666983
W0,185,h1,0.9
W0,185,h2,0.5725947847669749
W0,186,h1,0.9
W0,186,h2,0.6101232719972007
W0,187,h1,0.5
W0,187,h2,0.6345106905414677
W0,188,h1,0.5
W0,188,h2,0.7714734516342773
W0,189,h1,0.6
W0,189,h2,0.6270704366352069
W0,190,h1,0.6
W0,190,h2,0.6325316285716841
W0,191,h1,0.9
W0,191,h2,0.6345068457057776
W0,192,h1,0.6
W0,192,h2,0.6308267139331055
W0,193,h1,0.7
W0,193,h2,0.6024053149016504
W0,194,h1,0.8
W0,194,h2,0.7305234657039711
W0,195,h1,0.7
W0,195,h2,0.5966065508647569
W0,196,h1,0.7
W0,196,h2,0.6014767606015786
W0,197,h1,0.7
W0,197,h2,0.6334489373422912
W0,198,h1,0.5
W0,198,h2,0.5730881066870404
W0,199,h1,0.9
W0,199,h2,0.5724615858678701
W0,200,h1,0.6
W0,200,h2,0.53046388577045
W0,201,h1,0.7
W0,201,h2,0.43292878060562145
W0,202,h1,0.8
W0,202,h2,0.6706500466684732
W0,203,h1,0.7
W0,203,h2,0.6280585708687997
W0,204,h1,0.8
W0,204,h2,0.6272568661071504
W0,205,h1,0.8
W0,205,h2,0.5645645999941507
W0,206,h1,1
W0,206,h2,0.632335004903368
W0,207,h1,0.7
W0,207,h2,0.6322120002006357
W0,208,h1,0.9
W0,208,h2,0.670586621899262
W0,209,h1,0.8
W0,209,h2,0.5723385811651378
W0,210,h1,0.5
W0,210,h2,0.6033300243660319
W0,211,h1,1
W0,211,h2,0.6286421523746806
W0,212,h1,0.6
W0,212,h2,0.7063886949034569
W0,213,h1,0.9
W0,213,h2,0.6629320895729228
W0,214,h1,0.9
W0,214,h2,0.5964211727259053
W0,215,h1,0.6
W0,215,h2,0.6323984296725792
W0,216,h1,0.7
W0,216,h2,0.5738644670255473
W0,217,h1,0.7
W0,217,h2,0.5669482146916462
W0,218,h1,0.6
W0,218,h2,0.5363818096743858
W0,219,h1,0.6
W0,219,h2,0.6629648346898397
W0,220,h1,0.5
W0,220,h2,0.633210328630601
W0,221,h1,0.6
W0,221,h2,0.634165717747277
W0,222,h1,0.7
W0,222,h2,0.6340501137383191
W0,223,h1,0.9
W0,223,h2,0.541938120163899
W0,224,h1,0.6
W0,224,h2,0.6033300243660319
W0,225,h1,0.7
W0,225,h2,0.6333333333333333
W0,226,h1,0.8
W0,226,h2,0.6256749561713041
W0,227,h1,0.8
W0,227,h2,0.5954330384923125
W0,228,h1,0.7
W0,228,h2,0.6035788272740946
W0,229,h1,0.6
W0,229,h2,0.6983585101306327
W0,230,h1,0.7
W0,230,h2,0.5657317630059125
W0,231,h1,0.8
W0,231,h2,0.6024648948351715
W0,232,h1,0.9
W0,232,h2,0.6642017718314952
W0,233,h1,0.5
W0,233,h2,0.7073134043678385
W0,234,h1,0.9
W0,234,h2,0.5679036038083222
W0,235,h1,1
W0,235,h2,0.8018217333957695
W0,236,h1,0.7
W0,236,h2,0.6645139995087691
W0,237,h1,0.6
W0,237,h2,0.6570039714726146
W0,238,h1,1
W0,238,h2,0.6277770228438201
W0,239,h1,0.6
W0,239,h2,0.602746442860151
W0,240,h1,0.8
W0,240,h2,0.634165717747277
W0,241,h1,0.7
W0,241,h2,0.7354571002100041
W0,242,h1,0.7
W0,242,h2,0.5983674895787722
W0,243,h1,0.7
W0,243,h2,0.5622242886160767
W0,244,h1,0.8
W0,244,h2,0.6748034760003092
W0,245,h1,0.9
W0,245,h2,0.6693105902800072
W0,246,h1,0.6
W0,246,h2,0.6042649280267861
W0,247,h1,0.8
W0,247,h2,0.6645101546730791
W0,248,h1,0.9
W0,248,h2,0.700583581505881
W0,249,h1,0.4
W0,249,h2,0.6708290754466423
W0,250,h1,1
W0,250,h2,0.5660830851607858
W0,251,h1,0.7
W0,251,h2,0.6763853859361555
W0,252,h1,0.7
W0,252,h2,0.541354538658018
W0,253,h1,0.6
W0,253,h2,0.6332737533998122
W0,254,h1,0.6
W0,254,h2,0.6015729304877067
W0,255,h1,0.7
W0,255,h2,0.6318148481666983
W0,256,h1,0.8
W0,256,h2,0.5956120672704817
W0,257,h1,0.8
W0,257,h2,0.6991982952383508
W0,258,h1,0.5
W0,258,h2,0.5363222297408646
W0,259,h1,0.8
W0,259,h2,0.5363285791015471
W0,260,h1,0.5
W0,260,h2,0.5966699756339681
W0,261,h1,1
W0,261,h2,0.6332699085641221
W0,262,h1,0.7
W0,262,h2,0.5602183918296887
W0,263,h1,0.6
W0,263,h2,0.6334295032194613
W0,264,h1,0.7
W0,264,h2,0.5429326037581742
W0,265,h1,0.7
W0,265,h2,0.6699966910326987
W0,266,h1,0.6
W0,266,h2,0.5605901994404837
W0,267,h1,0.6
W0,267,h2,0.6333967581025446
W0,268,h1,1
W0,268,h2,0.7052747624645337
W0,269,h1,0.8
W0,269,h2,0.6342580427977149
W0,270,h1,0.7
W0,270,h2,0.6032665995968207
W0,271,h1,0.6
W0,271,h2,0.7421234983027505
W0,272,h1,0.9
W0,272,h2,0.7121836141046602
W0,273,h1,0.7
W0,273,h2,0.6629320895729228
W0,274,h1,0.9
W0,274,h2,0.6328131765966636
W0,275,h1,0.8
W0,275,h2,0.603118250470946
W0,276,h1,0.5
W0,276,h2,0.6076166525969728
W0,277,h1,0.7
W0,277,h2,0.6100598472279894
W0,278,h1,1
W0,278,h2,0.6330517853083538
W0,279,h1,0.8
W0,279,h2,0.6329287806056215
W0,280,h1,1
W0,280,h2,0.658645461341982
W0,281,h1,0.8
W0,281,h2,0.6992504744780974
W0,282,h1,0.9
W0,282,h2,0.6346030155919057
W0,283,h1,0.6
W0,283,h2,0.5672502481725477
W0,284,h1,0.8
W0,284,h2,0.6699966910326987
W0,285,h1,0.7
W0,285,h2,0.6699332662634874
W0,286,h1,0.9
W0,286,h2,0.5977737138765187
W0,287,h1,1
W0,287,h2,0.6376199615642743
W0,288,h1,0.6
W0,288,h2,0.6696619124348804
W0,289,h1,0.8
W0,289,h2,0.615739162420235
W0,290,h1,0.5
W0,290,h2,0.7048067849676106
W0,291,h1,0.7
W0,291,h2,0.6706500466684732
W0,292,h1,0.8
W0,292,h2,0.5669052753783569
W0,293,h1,0.7
W0,293,h2,0.6099442432190316
W0,294,h1,0.7
W0,294,h2,0.6040468047710177
W0,295,h1,0.7
W0,295,h2,0.7062096661252878
W0,296,h1,0.8
W0,296,h2,0.694039136782775
W0,297,h1,0.8
W0,297,h2,0.5719414291312004
W0,298,h1,0.7
W0,298,h2,0.6631438634680088
W0,299,h1,0.8
W0,299,h2,0.46872700877412626
W0,300,h1,0.9
W0,300,h2,0.6341984628641938
W0,301,h1,0.9
W0,301,h2,0.6685479799959572
W0,302,h1,0.8
W0,302,h2,0.6987937425106389
W0,303,h1,0.9
W0,303,h2,0.6994798432633302
W0,304,h1,0.7
W0,304,h2,0.640710162470383
W0,305,h1,0.8
W0,305,h2,0.633582136241396
W0,306,h1,0.6
W0,306,h2,0.6335187114721849
W0,307,h1,0.6
W0,307,h2,0.6637411950283466
W0,308,h1,0.8
W0,308,h2,0.6509275042464316
W0,309,h1,0.7
W0,309,h2,0.6039833800018065
W0,310,h1,0.7
W0,310,h2,0.7070747956561483
W0,311,h1,0.7
W0,311,h2,0.6334489373422912
W0,312,h1,0.5
W0,312,h2,0.5729919368009123
W0,313,h1,0.7
W0,313,h2,0.6637972191037833
W0,314,h1,0.7
W0,314,h2,0.6341022929780658
W0,315,h1,0.8
W0,315,h2,0.5659805659139753
W0,316,h1,0.7
W0,316,h2,0.5672604423689201
W0,317,h1,0.6
W0,317,h2,0.64024218497346
W0,318,h1,0.5
W0,318,h2,0.7005240015723598
W0,319,h1,0.7
W0,319,h2,0.6617585772004786
W0,320,h1,0.5
W0,320,h2,0.6271338614044181
W0,321,h1,0.6
W0,321,h2,0.6391282525345368
W0,322,h1,0.7
W0,322,h2,0.6328653558364102
W0,323,h1,0.7
W0,323,h2,0.5735194942313565
W0,324,h1,0.7
W0,324,h2,0.6394732253287275
W0,325,h1,0.8
W0,325,h2,0.634165717747277
W0,326,h1,0.7
W0,326,h2,0.6288909552827433
W0,327,h1,0.6
W0,327,h2,0.6018217333957694
W0,328,h1,0.5
W0,328,h2,0.5956716472040027
W0,329,h1,0.5
W0,329,h2,0.6693105902800072
W0,330,h1,0.8
W0,330,h2,0.6018217333957694
W0,331,h1,0.7
W0,331,h2,0.6400631561952909
W0,332,h1,0.5
W0,332,h2,0.573512093537582
W0,333,h1,0.8
W0,333,h2,0.7322209796487752
W0,334,h1,0.8
W0,334,h2,0.5971305524371167
W0,335,h1,0.7
W0,335,h2,0.6697253372040916
W0,336,h1,0.7
W0,336,h2,0.7066702429284364
W0,337,h1,0.6
W0,337,h2,0.6278795420906306
W0,338,h1,0.9
W0,338,h2,0.596941329462575
W0,339,h1,0.5
W0,339,h2,0.6324086238689517
W0,340,h1,0.9
W0,340,h2,0.5967334004031792
W0,341,h1,0.8
W0,341,h2,0.6343316617632987
W0,342,h1,0.8
W0,342,h2,0.6339169148392143
W0,343,h1,0.5
W0,343,h2,0.6085413620613545
W0,344,h1,0.6
W0,344,h2,0.7430520526028221
W0,345,h1,0.8
W0,345,h2,0.6699332662634874
W0,346,h1,0.7
W0,346,h2,0.670590466734952
W0,347,h1,0.6
W0,347,h2,0.7053903664734915
W0,348,h1,0.6
W0,348,h2,0.5365403529966329
W0,349,h1,0.5
W0,349,h2,0.4936113050965431
W0,350,h1,0.8
W0,350,h2,0.6091351377636078
W0,351,h1,0.9
W0,351,h2,0.6271338614044181
W0,352,h1,0.7
W0,352,h2,0.5651481815000317
W0,353,h1,0.9
W0,353,h2,0.6405237329984395
W0,354,h1,0.6
W0,354,h2,0.7040378253228782
W0,355,h1,0.6
W0,355,h2,0.6278795420906306
W0,356,h1,0.8
W0,356,h2,0.5004045527277119
W0,357,h1,0.8
W0,357,h2,0.6348518184999684
W0,358,h1,1
W0,358,h2,0.6045035367384762
W0,359,h1,0.7
W0,359,h2,0.6018217333957694
W0,360,h1,0.7
W0,360,h2,0.6264805057686434
W0,361,h1,0.9
W0,361,h2,0.6629955143421341
W0,362,h1,0.8
W0,362,h2,0.6748669007695204
W0,363,h1,0.7
W0,363,h2,0.5712246487262146
W0,364,h1,0.8
W0,364,h2,0.6702454939407613
W0,365,h1,0.9
W0,365,h2,0.669247165510796
W0,366,h1,0.5
W0,366,h2,0.639658603467579
W0,367,h1,0.5
W0,367,h2,0.5660830851607858
W0,368,h1,0.8
W0,368,h2,0.6388568987059298
W0,369,h1,0.5
W0,369,h2,0.6026868629266299
W0,370,h1,0.9
W0,370,h2,0.6275979940656511
W0,371,h1,0.5
W0,371,h2,0.5300033089673014
W0,372,h1,0.7
W0,372,h2,0.5367267824685765
W0,373,h1,0.7
W0,373,h2,0.5907418575336598
W0,374,h1,0.9
W0,374,h2,0.5309840425071197
W0,375,h1,0.6
W0,375,h2,0.6329287806056215
W0,376,h1,0.9
W0,376,h2,0.6326799776975588
W0,377,h1,0.7
W0,377,h2,0.7317008229121055
W0,378,h1,0.7
W0,378,h2,0.5656087583031802
W0,379,h1,0.7
W0,379,h2,0.5428730238246531
W0,380,h1,0.8
W0,380,h2,0.5962654229062562
W0,381,h1,0.7
W0,381,h2,0.6329922053748327
W0,382,h1,0.9
W0,382,h2,0.5947469377396212
W0,383,h1,0.8
W0,383,h2,0.6678350444266615
W0,384,h1,0.9
W0,384,h2,0.7060437221092661
W0,385,h1,0.8
W0,385,h2,0.669071981568317
W0,386,h1,0.6
W0,386,h2,0.6325316285716841
W0,387,h1,0.6
W0,387,h2,0.6406467377011718
W0,388,h1,0.8
W0,388,h2,0.56801920781728
W0,389,h1,0.9
W0,389,h2,0.46525968019498165
W0,390,h1,0.8
W0,390,h2,0.7005201567366697
W0,391,h1,0.8
W0,391,h2,0.6938601080046058
W0,392,h1,0.7
W0,392,h2,0.5290684053065473
W0,393,h1,0.7
W0,393,h2,0.5377212660628518
W0,394,h1,0.8
W0,394,h2,0.5663582838250828
W0,395,h1,0.8
W0,395,h2,0.7004605768031487
W0,396,h1,0.9
W0,396,h2,0.7286004278096242
W0,397,h1,0.5
W0,397,h2,0.7008919643474648
W0,398,h1,0.5
W0,398,h2,0.6387236998068249
W0,399,h1,0.8
W0,399,h2,0.7670116394608574
W0,400,h1,0.5
W0,400,h2,0.6931471724353101
W0,401,h1,0.8
W0,401,h2,0.6397220282367903
W0,402,h1,0.7
W0,402,h2,0.5662060898635181
W0,403,h1,0.8
W0,403,h2,0.6385446710286558
W0,404,h1,0.8
W0,404,h2,0.6994798432633302
W0,405,h1,0.5
W0,405,h2,0.6644505747395579
W0,406,h1,0.9
W0,406,h2,0.6052530622603789
W0,407,h1,1
W0,407,h2,0.5917299917672526
W0,408,h1,1
W0,408,h2,0.6311716867272962
W0,409,h1,0.7
W0,409,h2,0.6025283196043827
W0,410,h1,0.8
W0,410,h2,0.626198957743664
W0,411,h1,0.8
W0,411,h2,0.5307024944821402
W0,412,h1,1
W0,412,h2,0.6324682038024728
W0,413,h1,0.7
W0,413,h2,0.6329287806056215
W0,414,h1,0.8
W0,414,h2,0.5900557567809684
W0,415,h1,0.3
W0,415,h2,0.6996550272058093
W0,416,h1,0.9
W0,416,h2,0.5723981610986588
W0,417,h1,0.8
W0,417,h2,0.6015729304877067
W0,418,h1,0.5
W0,418,h2,0.5901582760277788
W0,419,h1,0.8
W0,419,h2,0.6943841095769656
W0,420,h1,0.6
W0,420,h2,0.5907418575336598
W0,421,h1,0.9
W0,421,h2,0.522868933377632
W0,422,h1,1
W0,422,h2,0.5654931542942223
W0,423,h1,0.9
W0,423,h2,0.6331673893173116
W0,424,h1,0.8
W0,424,h2,0.6928021996411194
W0,425,h1,0.6
W0,425,h2,0.5313558501179148
W0,426,h1,0.8
W0,426,h2,0.5362662056654278
W0,427,h1,0.8
W0,427,h2,0.6023418901324391
W0,428,h1,0.6
W0,428,h2,0.5970671276679055
W0,429,h1,1
W0,429,h2,0.5681851518333018
W0,430,h1,0.8
W0,430,h2,0.6571269761753469
W0,431,h1,0.8
W0,431,h2,0.6648449332708972
W0,432,h1,0.8
W0,432,h2,0.6708290754466423
W0,433,h1,0.8
W0,433,h2,0.8029254716383201
W0,434,h1,0.6
W0,434,h2,0.6333333333333333
W0,435,h1,0.6
W0,435,h2,0.5950284857646007
W0,436,h1,0.6
W0,436,h2,0.6336783061275241
W0,437,h1,0.9
W0,437,h2,0.5651481815000317
W0,438,h1,0.8
W0,438,h2,0.6397220282367903
W0,439,h1,0.5
W0,439,h2,0.6641690267145783
W0,440,h1,0.9
W0,440,h2,0.7060168872926619
W0,441,h1,0.8
W0,441,h2,0.6943841095769656
W0,442,h1,0.8
W0,442,h2,0.5723981610986588
W0,443,h1,0.7
W0,443,h2,0.6325316285716841
W0,444,h1,1
W0,444,h2,0.6706500466684732
W0,445,h1,0.7
W0,445,h2,0.6695921383049868
W0,446,h1,0.8
W0,446,h2,0.6325009489193897
W0,447,h1,0.7
W0,447,h2,0.7124651621296398
W0,448,h1,0.8
W0,448,h2,0.5598734190354979
W0,449,h1,0.6
W0,449,h2,0.5363183849051745
W0,450,h1,0.6
W0,450,h2,0.566325538708166
W0,451,h1,1
W0,451,h2,0.6687904335433374
W0,452,h1,0.6
W0,452,h2,0.6642613517650163
W0,453,h1,1
W0,453,h2,0.6406467377011718
W0,454,h1,0.5
W0,454,h2,0.5658015371358062
W0,455,h1,0.6
W0,455,h2,0.6336148813583129
W0,456,h1,0.8
W0,456,h2,0.5956120672704817
W0,457,h1,1
W0,457,h2,0.5899401527720105
W0,458,h1,0.5
W0,458,h2,0.5967855796429259
W0,459,h1,1
W0,459,h2,0.7482633902981446
W0,460,h1,0.6
W0,460,h2,0.6566068194386772
W0,461,h1,0.6
W0,461,h2,0.6326472325806419
W0,462,h1,0.8
W0,462,h2,0.6685479799959572
W0,463,h1,0.8
W0,463,h2,0.6401787602042487
W0,464,h1,0.8
W0,464,h2,0.5959838748812767
W0,465,h1,0.8
W0,465,h2,0.6944436895104867
W0,466,h1,0.8
W0,466,h2,0.6624017386398806
W0,467,h1,0.7
W0,467,h2,0.6019774832154186
W0,468,h1,0.7
W0,468,h2,0.6992310403552675
W0,469,h1,0.9
W0,469,h2,0.5425914757996735
W0,470,h1,0.6
W0,470,h2,0.5650251767972992
W0,471,h1,0.7
W0,471,h2,0.693455555276894
W0,472,h1,0.8
W0,472,h2,0.5661986891697436
W0,473,h1,0.7
W0,473,h2,0.7420078942937925
W0,474,h1,0.8
W0,474,h2,0.6626832866648601
W0,475,h1,0.7
W0,475,h2,0.6388896438228465
W0,476,h1,0.8
W0,476,h2,0.6025283196043827
W0,477,h1,0.8
W0,477,h2,0.5541419246035058
W0,478,h1,0.8
W0,478,h2,0.5669750495082505
W0,479,h1,0.8
W0,479,h2,0.6931471724353101
W0,480,h1,0.6
W0,480,h2,0.6987937425106389
W0,481,h1,0.7
W0,481,h2,0.6329287806056215
W0,482,h1,0.7
W0,482,h2,0.6277770228438201
W0,483,h1,0.5
W0,483,h2,0.5987086175372729
W0,484,h1,0.7
W0,484,h2,0.6618181571339996
W0,485,h1,0.7
W0,485,h2,0.7415335674361871
