Fermenter,Strain,SourceType,Source,SourceCarbon,MetaboliteType,Metabolite,MetaboliteCarbon,Replicate,MetaboliteConc
respirator,Pputida,sugar,glucose,6,acid,glycine,2,1,0.6999999999999997
respirator,Pputida,sugar,glucose,6,acid,alpha-ketoglutarate,5,1,0
respirator,Pputida,sugar,glucose,6,acid,succinate,4,1,0.132
respirator,Pputida,sugar,glucose,6,acid,acetyl-ornithine,7,1,5.65
respirator,Pputida,sugar,glucose,6,acid,fumarate,4,1,0.0168
respirator,Pputida,sugar,glucose,6,sugar,glucose,6,1,0
respirator,Pputida,sugar,glucose,6,acid,asparagine,4,1,0
respirator,Pputida,sugar,glucose,6,acid,lactate,3,1,0
respirator,Pputida,sugar,glucose,6,acid,methionine,5,1,0
respirator,Pputida,sugar,glucose,6,acid,hippurate,9,1,0
respirator,Pputida,sugar,glucose,6,acid,valerate,5,1,0.233
respirator,Pputida,sugar,glucose,6,acid,butyrate,4,1,0.227
respirator,Pputida,sugar,glucose,6,acid,acetate,2,1,674.8
respirator,Pputida,sugar,glucose,6,acid,putrescine,4,1,0
respirator,Pputida,sugar,glucose,6,acid,citrate,6,1,0.597
respirator,Pputida,sugar,glucose,6,acid,succinate,4,2,0.155
respirator,Pputida,sugar,glucose,6,sugar,glucose,6,2,0
respirator,Pputida,sugar,glucose,6,acid,asparagine,4,2,0.274
respirator,Pputida,sugar,glucose,6,acid,lactate,3,2,0
respirator,Pputida,sugar,glucose,6,acid,alanine,3,2,0
respirator,Pputida,sugar,glucose,6,acid,acetyl-ornithine,7,2,4.67
respirator,Pputida,sugar,glucose,6,acid,methionine,5,2,0.136
respirator,Pputida,sugar,glucose,6,acid,glycine,2,2,0.10999999999999988
respirator,Pputida,sugar,glucose,6,acid,propionate,3,2,1.23
respirator,Pputida,sugar,glucose,6,acid,pyruvate,3,2,0
respirator,Pputida,sugar,glucose,6,acid,valine,5,2,0
respirator,Pputida,sugar,glucose,6,acid,serine,3,2,0
respirator,Pputida,sugar,glucose,6,acid,hippurate,9,2,0
respirator,Pputida,sugar,glucose,6,acid,citrate,6,2,0.617
respirator,Pputida,sugar,glucose,6,acid,alpha-ketoglutarate,5,2,0
respirator,Pputida,sugar,glucose,6,acid,putrescine,4,2,0
respirator,Pputida,sugar,glucose,6,acid,beta-hydroxybutyrate,4,2,1.14
respirator,Pputida,sugar,glucose,6,acid,valerate,5,2,0.298
respirator,Pputida,sugar,glucose,6,acid,butyrate,4,2,0.557
respirator,Pputida,sugar,glucose,6,acid,fumarate,4,2,0.0229
respirator,Pputida,sugar,glucose,6,acid,acetate,2,2,676.8
respirator,Pseudomonas,sugar,glucose,6,acid,alanine,3,1,0
respirator,Pseudomonas,sugar,glucose,6,acid,valine,5,1,0
respirator,Pseudomonas,sugar,glucose,6,acid,serine,3,1,1.62
respirator,Pseudomonas,sugar,glucose,6,acid,fumarate,4,1,0.0134
respirator,Pseudomonas,sugar,glucose,6,sugar,glucose,6,1,0
respirator,Pseudomonas,sugar,glucose,6,acid,succinate,4,1,0.178
respirator,Pseudomonas,sugar,glucose,6,acid,beta-hydroxybutyrate,4,1,0.0642
respirator,Pseudomonas,sugar,glucose,6,acid,acetyl-ornithine,7,1,3.51
respirator,Pseudomonas,sugar,glucose,6,acid,glycine,2,1,0.9300000000000002
respirator,Pseudomonas,sugar,glucose,6,acid,asparagine,4,1,0.252
respirator,Pseudomonas,sugar,glucose,6,acid,butyrate,4,1,0.0443
respirator,Pseudomonas,sugar,glucose,6,acid,lactate,3,1,0
respirator,Pseudomonas,sugar,glucose,6,acid,putrescine,4,1,0
respirator,Pseudomonas,sugar,glucose,6,acid,hippurate,9,1,0
