Assembly,Community,Family,ID,Isolate,Win,Lose,Draw,Score,Game,Rank,PlotRank
self_assembly,W18,F1,S504,2,0,6,1,-6,7,8,8
self_assembly,W18,F1,S525,3,6,0,1,6,7,1,1
self_assembly,W18,F1,S572,4,1,5,1,-4,7,7,7
self_assembly,W18,F1,S573,5,5,1,1,4,7,2,2
self_assembly,W18,F1,S734,6,2,4,1,-2,7,6,6
self_assembly,W18,F1,S781,7,3,3,1,0,7,4,5
self_assembly,W18,F1,S982,8,4,2,1,2,7,3,3
self_assembly,W19,F0,S295,1,8,0,0,8,8,1,1
self_assembly,W19,F1,S524,2,6,2,0,4,8,3,3
self_assembly,W19,F1,S540,3,0,8,0,-8,8,9,9
self_assembly,W19,F1,S681,4,1,7,0,-6,8,8,8
self_assembly,W19,F1,S763,5,2,6,0,-4,8,7,7
self_assembly,W19,F1,S767,6,7,1,0,6,8,2,2
self_assembly,W19,F1,S789,7,3,5,0,-2,8,6,6
self_assembly,W19,F1,S905,8,4,4,0,0,8,5,5
self_assembly,W19,F1,S964,9,5,3,0,2,8,4,4
self_assembly,W2,F1,S807,1,0,1,0,-1,1,2,2
self_assembly,W2,F1,S919,2,1,0,0,1,1,1,1
self_assembly,W3,F0,S292,1,0,0,3,0,3,2,2
self_assembly,W3,F1,S572,2,0,2,1,-2,3,4,4
self_assembly,W3,F1,S911,3,1,1,1,0,3,2,3
self_assembly,W3,F1,S985,4,2,0,1,2,3,1,1
self_assembly,W4,F0,S402,1,0,0,7,0,7,4,4
self_assembly,W4,F1,S525,2,6,0,1,6,7,1,1
self_assembly,W4,F1,S576,3,0,6,1,-6,7,8,8
self_assembly,W4,F1,S718,4,1,5,1,-4,7,7,7
self_assembly,W4,F1,S760,5,2,4,1,-2,7,6,6
self_assembly,W4,F1,S808,6,3,3,1,0,7,4,5
self_assembly,W4,F1,S970,7,4,2,1,2,7,3,3
self_assembly,W4,F1,S991,8,5,1,1,4,7,2,2
self_assembly,W5,F0,S167,1,0,0,2,0,2,2,2
self_assembly,W5,F1,S561,2,1,0,1,1,2,1,1
self_assembly,W5,F1,S839,3,0,1,1,-1,2,3,3
self_assembly,W6,F0,S267,1,0,1,6,-1,7,5,5
self_assembly,W6,F0,S433,2,1,0,6,1,7,3,3
self_assembly,W6,F1,S571,3,0,5,2,-5,7,8,8
self_assembly,W6,F1,S608,4,1,4,2,-3,7,7,7
self_assembly,W6,F1,S643,5,2,3,2,-1,7,5,6
self_assembly,W6,F1,S766,6,3,2,2,1,7,3,4
self_assembly,W6,F1,S809,7,4,1,2,3,7,2,2
self_assembly,W6,F1,S987,8,5,0,2,5,7,1,1
self_assembly,W7,F0,S353,1,0,0,3,0,3,2,2
self_assembly,W7,F1,S673,2,0,2,1,-2,3,4,4
self_assembly,W7,F1,S674,3,2,0,1,2,3,1,1
self_assembly,W7,F1,S976,4,1,1,1,0,3,2,3
self_assembly,W8,F0,S433,1,0,0,5,0,5,3,3
self_assembly,W8,F1,S546,2,0,4,1,-4,5,6,6
self_assembly,W8,F1,S673,3,1,3,1,-2,5,5,5
self_assembly,W8,F1,S924,4,2,2,1,0,5,3,4
self_assembly,W8,F1,S933,5,4,0,1,4,5,1,1
self_assembly,W8,F1,S993,6,3,1,1,2,5,2,2
self_assembly,W9,F0,S70,1,0,0,3,0,3,2,2
self_assembly,W9,F1,S674,2,2,0,1,2,3,1,1
self_assembly,W9,F1,S766,3,0,2,1,-2,3,4,4
self_assembly,W9,F1,S916,4,1,1,1,0,3,2,3
random_assembly,W0,F0,S141,1,NA,NA,NA,NA,NA,NA,NA
random_assembly,W0,F0,S199,2,NA,NA,NA,NA,NA,NA,NA
random_assembly,W0,F0,S290,3,NA,NA,NA,NA,NA,NA,NA
random_assembly,W0,F0,S297,4,NA,NA,NA,NA,NA,NA,NA
random_assembly,W0,F0,S319,5,NA,NA,NA,NA,NA,NA,NA
random_assembly,W0,F0,S327,6,NA,NA,NA,NA,NA,NA,NA
random_assembly,W0,F0,S497,7,NA,NA,NA,NA,NA,NA,NA
random_assembly,W0,F1,S584,8,NA,NA,NA,NA,NA,NA,NA
random_assembly,W0,F1,S769,9,NA,NA,NA,NA,NA,NA,NA
random_assembly,W0,F1,S960,10,NA,NA,NA,NA,NA,NA,NA
random_assembly,W1,F0,S40,1,NA,NA,NA,NA,NA,NA,NA
random_assembly,W1,F0,S114,2,NA,NA,NA,NA,NA,NA,NA
random_assembly,W1,F0,S347,3,NA,NA,NA,NA,NA,NA,NA
random_assembly,W1,F0,S351,4,NA,NA,NA,NA,NA,NA,NA
random_assembly,W1,F0,S404,5,NA,NA,NA,NA,NA,NA,NA
random_assembly,W1,F1,S519,6,NA,NA,NA,NA,NA,NA,NA
random_assembly,W1,F1,S548,7,NA,NA,NA,NA,NA,NA,NA
random_assembly,W1,F1,S761,8,NA,NA,NA,NA,NA,NA,NA
random_assembly,W1,F1,S778,9,NA,NA,NA,NA,NA,NA,NA
random_assembly,W1,F1,S957,10,NA,NA,NA,NA,NA,NA,NA
random_assembly,W10,F0,S1,1,NA,NA,NA,NA,NA,NA,NA
random_assembly,W10,F0,S32,2,NA,NA,NA,NA,NA,NA,NA
random_assembly,W10,F0,S46,3,NA,NA,NA,NA,NA,NA,NA
random_assembly,W10,F0,S249,4,NA,NA,NA,NA,NA,NA,NA
random_assembly,W10,F0,S313,5,NA,NA,NA,NA,NA,NA,NA
random_assembly,W10,F0,S391,6,NA,NA,NA,NA,NA,NA,NA
random_assembly,W10,F0,S477,7,NA,NA,NA,NA,NA,NA,NA
random_assembly,W10,F1,S723,8,NA,NA,NA,NA,NA,NA,NA
random_assembly,W10,F1,S756,9,NA,NA,NA,NA,NA,NA,NA
random_assembly,W10,F1,S821,10,NA,NA,NA,NA,NA,NA,NA
random_assembly,W11,F0,S52,1,NA,NA,NA,NA,NA,NA,NA
random_assembly,W11,F0,S93,2,NA,NA,NA,NA,NA,NA,NA
random_assembly,W11,F0,S259,3,NA,NA,NA,NA,NA,NA,NA
random_assembly,W11,F0,S337,4,NA,NA,NA,NA,NA,NA,NA
random_assembly,W11,F0,S348,5,NA,NA,NA,NA,NA,NA,NA
random_assembly,W11,F0,S377,6,NA,NA,NA,NA,NA,NA,NA
random_assembly,W11,F0,S383,7,NA,NA,NA,NA,NA,NA,NA
random_assembly,W11,F0,S465,8,NA,NA,NA,NA,NA,NA,NA
random_assembly,W11,F1,S517,9,NA,NA,NA,NA,NA,NA,NA
random_assembly,W11,F1,S814,10,NA,NA,NA,NA,NA,NA,NA
random_assembly,W12,F0,S54,1,NA,NA,NA,NA,NA,NA,NA
random_assembly,W12,F0,S120,2,NA,NA,NA,NA,NA,NA,NA
random_assembly,W12,F0,S147,3,NA,NA,NA,NA,NA,NA,NA
random_assembly,W12,F0,S233,4,NA,NA,NA,NA,NA,NA,NA
random_assembly,W12,F0,S264,5,NA,NA,NA,NA,NA,NA,NA
random_assembly,W12,F0,S399,6,NA,NA,NA,NA,NA,NA,NA
random_assembly,W12,F0,S433,7,NA,NA,NA,NA,NA,NA,NA
random_assembly,W12,F0,S493,8,NA,NA,NA,NA,NA,NA,NA
random_assembly,W12,F1,S637,9,NA,NA,NA,NA,NA,NA,NA
random_assembly,W12,F1,S710,10,NA,NA,NA,NA,NA,NA,NA
random_assembly,W13,F0,S70,1,NA,NA,NA,NA,NA,NA,NA
random_assembly,W13,F0,S84,2,NA,NA,NA,NA,NA,NA,NA
random_assembly,W13,F0,S114,3,NA,NA,NA,NA,NA,NA,NA
random_assembly,W13,F0,S135,4,NA,NA,NA,NA,NA,NA,NA
random_assembly,W13,F0,S142,5,NA,NA,NA,NA,NA,NA,NA
random_assembly,W13,F0,S206,6,NA,NA,NA,NA,NA,NA,NA
random_assembly,W13,F0,S232,7,NA,NA,NA,NA,NA,NA,NA
random_assembly,W13,F0,S378,8,NA,NA,NA,NA,NA,NA,NA
random_assembly,W13,F0,S381,9,NA,NA,NA,NA,NA,NA,NA
random_assembly,W13,F1,S793,10,NA,NA,NA,NA,NA,NA,NA
random_assembly,W14,F0,S18,1,NA,NA,NA,NA,NA,NA,NA
random_assembly,W14,F0,S21,2,NA,NA,NA,NA,NA,NA,NA
random_assembly,W14,F0,S43,3,NA,NA,NA,NA,NA,NA,NA
random_assembly,W14,F0,S293,4,NA,NA,NA,NA,NA,NA,NA
random_assembly,W14,F0,S427,5,NA,NA,NA,NA,NA,NA,NA
random_assembly,W14,F0,S443,6,NA,NA,NA,NA,NA,NA,NA
random_assembly,W14,F0,S444,7,NA,NA,NA,NA,NA,NA,NA
random_assembly,W14,F1,S667,8,NA,NA,NA,NA,NA,NA,NA
random_assembly,W14,F1,S746,9,NA,NA,NA,NA,NA,NA,NA
random_assembly,W14,F1,S981,10,NA,NA,NA,NA,NA,NA,NA
random_assembly,W15,F0,S150,1,NA,NA,NA,NA,NA,NA,NA
random_assembly,W15,F0,S152,2,NA,NA,NA,NA,NA,NA,NA
random_assembly,W15,F0,S245,3,NA,NA,NA,NA,NA,NA,NA
random_assembly,W15,F0,S446,4,NA,NA,NA,NA,NA,NA,NA
random_assembly,W15,F0,S448,5,NA,NA,NA,NA,NA,NA,NA
random_assembly,W15,F1,S559,6,NA,NA,NA,NA,NA,NA,NA
random_assembly,W15,F1,S781,7,NA,NA,NA,NA,NA,NA,NA
random_assembly,W15,F1,S846,8,NA,NA,NA,NA,NA,NA,NA
random_assembly,W15,F1,S922,9,NA,NA,NA,NA,NA,NA,NA
random_assembly,W15,F1,S939,10,NA,NA,NA,NA,NA,NA,NA
random_assembly,W16,F0,S18,1,NA,NA,NA,NA,NA,NA,NA
random_assembly,W16,F0,S137,2,NA,NA,NA,NA,NA,NA,NA
random_assembly,W16,F0,S142,3,NA,NA,NA,NA,NA,NA,NA
random_assembly,W16,F0,S291,4,NA,NA,NA,NA,NA,NA,NA
random_assembly,W16,F0,S477,5,NA,NA,NA,NA,NA,NA,NA
random_assembly,W16,F1,S582,6,NA,NA,NA,NA,NA,NA,NA
random_assembly,W16,F1,S596,7,NA,NA,NA,NA,NA,NA,NA
random_assembly,W16,F1,S626,8,NA,NA,NA,NA,NA,NA,NA
random_assembly,W16,F1,S728,9,NA,NA,NA,NA,NA,NA,NA
random_assembly,W16,F1,S821,10,NA,NA,NA,NA,NA,NA,NA
random_assembly,W17,F0,S44,1,NA,NA,NA,NA,NA,NA,NA
