Assembly,Community,ID1,ID2,Isolate1MeasuredFreq,Assembly1,Family1,Isolate1,Assembly2,Family2,Isolate2
self_assembly,W3,S360,S911,0.4915735291759537,self_assembly,F0,4,self_assembly,F1,6
self_assembly,W3,S572,S911,0.02342493721430249,self_assembly,F1,5,self_assembly,F1,6
self_assembly,W3,S572,S911,0.8921270234600156,self_assembly,F1,5,self_assembly,F1,6
self_assembly,W4,S40,S418,0.3701041896693634,self_assembly,F0,1,self_assembly,F0,2
self_assembly,W4,S40,S418,0.9903172819227111,self_assembly,F0,1,self_assembly,F0,2
self_assembly,W4,S40,S420,0.38464539501184336,self_assembly,F0,1,self_assembly,F0,3
self_assembly,W4,S40,S420,0.969948808019363,self_assembly,F0,1,self_assembly,F0,3
self_assembly,W4,S40,S503,0.00768083653742499,self_assembly,F0,1,self_assembly,F1,4
self_assembly,W4,S40,S503,0.2113898192793257,self_assembly,F0,1,self_assembly,F1,4
self_assembly,W4,S40,S839,0.29469302421086035,self_assembly,F0,1,self_assembly,F1,5
self_assembly,W4,S40,S839,0.5059539205824592,self_assembly,F0,1,self_assembly,F1,5
self_assembly,W4,S40,S991,0.015880902266506472,self_assembly,F0,1,self_assembly,F1,6
self_assembly,W4,S40,S991,0.2941181963340274,self_assembly,F0,1,self_assembly,F1,6
self_assembly,W4,S418,S420,0.20417314514951337,self_assembly,F0,2,self_assembly,F0,3
self_assembly,W4,S418,S420,0.7916678203246855,self_assembly,F0,2,self_assembly,F0,3
self_assembly,W4,S418,S503,0.0010410496652486852,self_assembly,F0,2,self_assembly,F1,4
self_assembly,W4,S418,S503,0.10539128263661006,self_assembly,F0,2,self_assembly,F1,4
self_assembly,W4,S418,S839,0.07627696003729136,self_assembly,F0,2,self_assembly,F1,5
self_assembly,W4,S418,S839,0.46715418393657,self_assembly,F0,2,self_assembly,F1,5
self_assembly,W4,S418,S991,0.0020556837853433355,self_assembly,F0,2,self_assembly,F1,6
self_assembly,W4,S418,S991,0.17951761000116,self_assembly,F0,2,self_assembly,F1,6
self_assembly,W4,S420,S503,0.00131888244899424,self_assembly,F0,3,self_assembly,F1,4
self_assembly,W4,S420,S503,0.10311402972562307,self_assembly,F0,3,self_assembly,F1,4
self_assembly,W4,S420,S839,0.08465627090006687,self_assembly,F0,3,self_assembly,F1,5
